Skewness: 0.8041226112111944, Average LID: LPCA: 2.8331523348800474  |||  MLE: nan  |||  MLENB: nan  |||  TLE: nan
LPCA: 0.061341521624415904  |||  MLE: nan  |||  MLENB: nan  |||  TLE: nan
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;16;2;1.0400557017925571;1.0400557017925571;nan
1;10;2;1.210184085191314;1.210184085191314;nan
2;16;2;0.9480688945043299;0.9480688945043299;nan
3;16;2;0.9504396099771573;0.9504396099771573;nan
4;22;2;0.9725869082763183;0.9725869082763183;nan
5;22;2;0.9781227872265118;0.9781227872265118;nan
6;16;2;1.363861717612379;1.363861717612379;nan
7;22;2;1.1945163225947704;1.1945163225947704;nan
8;22;2;2.1017832767635243;2.1017832767635243;nan
9;0;2;15.61024351949463;15.61024351949463;nan
10;22;2;2.5784678845605145;2.5784678845605145;nan
11;22;2;1.5719908932524147;1.5719908932524147;nan
12;22;2;1.9435112172084243;1.9435112172084243;nan
13;23;2;1.782348826057414;1.782348826057414;nan
14;25;2;1.3758801886808567;1.3758801886808567;nan
15;23;2;1.4043823857035007;1.4043823857035007;nan
16;30;2;1.5091799554989989;1.5091799554989989;nan
17;30;2;1.7081231708113171;1.7081231708113171;nan
18;30;2;1.4130634738196635;1.4130634738196635;nan
19;20;2;1.2553966618223853;1.2553966618223853;nan
20;25;2;1.6223726650422154;1.6223726650422154;nan
21;30;2;1.5710478979614613;1.5710478979614613;nan
22;28;2;1.2770632943721936;1.2770632943721936;nan
23;19;1;1.5154290645734187;1.5154290645734187;nan
24;18;1;1.6553750008633288;1.6553750008633288;nan
25;19;1;1.6040525934783225;1.6040525934783225;nan
26;14;1;1.5202533193702914;1.5202533193702914;nan
27;21;1;1.1057761130119448;1.1057761130119448;nan
28;22;1;1.0981839408057004;1.0981839408057004;nan
29;13;1;1.5746092530858904;1.5746092530858904;nan
30;14;1;1.4968782299403258;1.4968782299403258;nan
31;19;1;1.5536475663773293;1.5536475663773293;nan
32;22;1;1.1986084859636308;1.1986084859636308;nan
33;21;1;1.2863517531235527;1.2863517531235527;nan
34;14;1;1.56610814043244;1.56610814043244;nan
35;19;1;1.4405165036795882;1.4405165036795882;nan
36;12;1;1.424809495200307;1.424809495200307;nan
37;21;1;2.053547946471015;2.053547946471015;nan
38;19;1;1.2064739663739956;1.2064739663739956;nan
39;18;1;1.466242407758914;1.466242407758914;nan
40;18;2;1.4106264700798916;1.4106264700798916;nan
41;20;1;0.904285800655949;0.904285800655949;nan
42;22;1;1.0553450304788512;1.0553450304788512;nan
43;23;1;1.0640301956132263;1.0640301956132263;nan
44;23;1;0.9198220939484053;0.9198220939484053;nan
45;21;2;1.3495124028308754;1.3495124028308754;nan
46;22;2;1.6222155002992316;1.6222155002992316;nan
47;20;1;1.5519733242008122;1.5519733242008122;nan
48;27;1;1.5228914156131046;1.5228914156131046;nan
49;20;2;1.3760241402284537;1.3760241402284537;nan
50;19;2;1.2822329290775714;1.2822329290775714;nan
51;21;1;0.9103160979872396;0.9103160979872396;nan
52;16;1;1.318941569106827;1.318941569106827;nan
53;19;1;1.0716274121217815;1.0716274121217815;nan
54;32;2;1.6708620601448196;1.6708620601448196;nan
55;27;1;1.7948071677457755;1.7948071677457755;nan
56;32;2;1.774350713096822;1.774350713096822;nan
57;18;3;0.9042327018885006;0.9042327018885006;nan
58;20;2;1.2643715273881022;1.2643715273881022;nan
59;20;2;1.2616731516544186;1.2616731516544186;nan
60;24;1;1.5742943044489395;1.5742943044489395;nan
61;22;1;1.6747436196381196;1.6747436196381196;nan
62;26;1;1.5042599186880372;1.5042599186880372;nan
63;22;2;1.4764044788003408;1.4764044788003408;nan
64;18;3;0.9294723414256831;0.9294723414256831;nan
65;18;3;0.8903138280092104;0.8903138280092104;nan
66;18;2;0.9583356510038256;0.9583356510038256;nan
67;18;3;0.929703710976621;0.929703710976621;nan
68;21;2;1.469805424490726;1.469805424490726;nan
69;20;2;1.8648021600243871;1.8648021600243871;nan
70;14;3;1.3939797901360709;1.3939797901360709;nan
71;14;3;1.4492152171265853;1.4492152171265853;nan
72;10;3;1.4276471146889849;1.4276471146889849;nan
73;9;3;1.3358892394180453;1.3358892394180453;nan
74;9;2;1.4974882918003884;1.4974882918003884;nan
75;2;2;7.23489827142726;7.23489827142726;nan
76;2;3;3.087888458579526;3.087888458579526;nan
77;16;3;1.5771703153378;1.5771703153378;nan
78;15;2;1.553793782003984;1.553793782003984;nan
