Skewness: -0.289375772001891, Average LID: LPCA: 2.8254516734129727  |||  MLE: 1.5230470480192926  |||  MLENB: 1.5230470480192926  |||  TLE: nan
LPCA: 0.13709182734325262  |||  MLE: -0.33464550450560504  |||  MLENB: -0.33464550450560504  |||  TLE: nan
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;275;2;1.979812526458259;1.979812526458259;1.8251152432179336
1;275;2;2.071642257242259;2.071642257242259;1.8452937069783117
2;275;2;1.943785087118393;1.943785087118393;1.8222403184224067
3;275;2;1.9442534183439961;1.9442534183439961;1.8215128671091325
4;255;2;1.8653568978252557;1.8653568978252557;1.7449607142880281
5;255;2;1.8673233271309866;1.8673233271309866;1.74471249506923
6;255;2;1.9994650579684554;1.9994650579684554;1.7607845217229439
7;255;2;1.8640159508560097;1.8640159508560097;1.7021520459793862
8;255;2;1.6605690433749423;1.6605690433749423;1.5071206394533248
9;253;2;3.4733449964869183;3.4733449964869183;2.0737073465462634
10;255;2;1.6489977858299645;1.6489977858299645;1.473001335935678
11;255;2;1.5605546800868981;1.5605546800868981;1.4408330543399213
12;255;2;1.5917213065540943;1.5917213065540943;1.4590658139004407
13;255;2;1.5875635167131463;1.5875635167131463;1.4456283284566638
14;255;2;1.524615868778006;1.524615868778006;1.3989410997599112
15;255;2;1.5286993286006298;1.5286993286006298;1.4001066035402538
16;276;2;1.908100029144171;1.908100029144171;1.7002978405182039
17;276;2;1.9085665292812755;1.9085665292812755;1.7167057351900847
18;276;2;1.9072714631929994;1.9072714631929994;1.706219884264483
19;276;2;1.8996844957676946;1.8996844957676946;1.7097108987112364
20;255;2;1.5443793184108963;1.5443793184108963;1.3982277264198735
21;276;2;1.8950961488987101;1.8950961488987101;1.713113856677646
22;276;2;1.902544072162775;1.902544072162775;1.7083510701697964
23;278;2;1.7337351392291014;1.7337351392291014;1.545223081895951
24;278;2;1.763561273273498;1.763561273273498;1.544850798328971
25;278;2;1.7450425333380746;1.7450425333380746;1.548561757842152
