Skewness: -0.3308690868185415, Average LID: LPCA: 3.6874458874458873  |||  MLE: 2.366032374053385  |||  MLENB: 2.366032374053385  |||  TLE: 2.695826788469835
LPCA: -0.08408541849820499  |||  MLE: -0.2958056827264426  |||  MLENB: -0.2958056827264426  |||  TLE: -0.22856076600840416
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;92;3;2.608645308836248;2.608645308836248;2.3609066617261267
1;132;4;2.149088133341952;2.149088133341952;2.3129396297420968
2;141;3;1.9850466257552803;1.9850466257552803;2.2697025719067083
3;97;4;2.9884727777691493;2.9884727777691493;2.874329822123619
4;118;2;1.8972355550657714;1.8972355550657714;2.0737886370586702
5;132;2;2.4861876722576874;2.4861876722576874;2.242165519023051
6;94;3;1.992550874325946;1.992550874325946;2.156005408275482
7;152;4;0.0;0.0;3.07440250303496
8;19;5;0.0;0.0;3.988452659177814
9;135;4;2.6322779486541754;2.6322779486541754;2.6863777665194224
10;128;4;2.325917175477854;2.325917175477854;2.538425923087155
11;81;4;2.517376246381731;2.517376246381731;2.5212187487593947
12;102;4;2.465829596523538;2.465829596523538;2.5834116230720277
13;104;3;0.0;0.0;1.68376969662659
14;87;3;2.0546701722056393;2.0546701722056393;2.1395560857740774
15;168;4;2.023275645336425;2.023275645336425;2.9447127289651873
16;63;4;2.013575944523653;2.013575944523653;2.2199120407663977
17;128;2;1.8095734174516018;1.8095734174516018;1.8303085613735217
18;83;4;2.043325019405437;2.043325019405437;3.0575173308838077
19;118;4;4.317626913145596;4.317626913145596;4.030219399214246
20;108;4;1.3705233667784784;1.3705233667784784;1.9421264008575105
21;116;4;1.9674735521506446;1.9674735521506446;2.221740490710164
22;114;4;3.2701221656553203;3.2701221656553203;3.235714040711495
23;159;3;2.250750847660934;2.250750847660934;2.457796411123646
24;75;3;2.3157074426597863;2.3157074426597863;2.3848099189677563
25;85;3;0.0;0.0;2.173787084486677
26;119;4;2.1895572059082475;2.1895572059082475;2.384983142580825
27;53;3;0.0;0.0;1.877945588101585
28;135;4;2.201273756650333;2.201273756650333;2.4977310624361437
29;76;6;6.332358312351521;6.332358312351521;4.625477331603028
30;72;3;1.7765784255259158;1.7765784255259158;1.9996207494442517
31;122;4;1.6577174498293563;1.6577174498293563;1.9299845570265783
32;97;4;2.090578201169361;2.090578201169361;2.3164756516951592
33;82;5;4.294394912071841;4.294394912071841;4.039787632143618
34;102;3;0.0;0.0;2.025686479714181
35;49;4;2.0557229838824513;2.0557229838824513;1.9169416615739578
36;104;4;2.446644899321863;2.446644899321863;2.8928710390077517
37;105;4;2.068657970303368;2.068657970303368;2.241273792253697
38;123;4;2.048370482622814;2.048370482622814;2.1749279020375716
39;97;4;2.1104329275770697;2.1104329275770697;2.1043780337120688
40;52;3;2.83299203232379;2.83299203232379;2.5297344640304873
41;24;3;3.6273930697000982;3.6273930697000982;3.612993858072372
42;72;4;3.792307897108216;3.792307897108216;4.1132725465379725
43;65;3;1.6804650872532778;1.6804650872532778;1.963829545221097
44;137;4;2.94671809106576;2.94671809106576;3.003129417773428
45;94;4;0.0;0.0;2.4635595973777487
46;85;4;2.375229230295422;2.375229230295422;2.470418903133236
47;87;2;1.453354760252219;1.453354760252219;1.6185436468939334
48;182;4;2.5856422437897044;2.5856422437897044;2.652765715791708
49;64;4;5.248378535901516;5.248378535901516;4.823822187486852
50;75;3;2.0026130291725193;2.0026130291725193;2.733527505436557
51;116;4;3.3816590248701672;3.3816590248701672;3.459495158644494
52;62;3;2.75307064197462;2.75307064197462;2.4718029664190184
53;128;3;2.357296103041539;2.357296103041539;2.3990168014663396
54;91;3;1.5399927887647273;1.5399927887647273;1.6487207698477264
55;28;3;2.1521471668879717;2.1521471668879717;3.227389316100102
56;111;5;3.924722518550809;3.924722518550809;3.620618093301927
57;39;4;2.792824151132067;2.792824151132067;2.3382687041860764
58;95;4;2.134757916894265;2.134757916894265;2.120925530356405
59;99;5;3.672761451240703;3.672761451240703;3.655665271736678
60;124;3;2.4445951049960533;2.4445951049960533;2.5414725025640346
61;95;4;2.2468273678565858;2.2468273678565858;2.4731369523849374
62;77;5;0.0;0.0;2.725002995784407
63;59;4;2.421352710673014;2.421352710673014;2.327162988165019
64;131;4;2.0083335002371423;2.0083335002371423;2.381647375466563
65;107;3;2.2890319089332154;2.2890319089332154;2.3423974636022673
66;82;3;2.5006484151740067;2.5006484151740067;2.473702455995557
67;101;3;1.741573454889462;1.741573454889462;2.5677425112984
68;119;3;2.229243691017748;2.229243691017748;2.031472734133033
69;88;3;0.0;0.0;2.173787084486677
70;120;4;1.844109680562963;1.844109680562963;2.146824934871294
71;125;4;2.9657674030979613;2.9657674030979613;3.2161212536811314
72;90;3;3.5136765834811787;3.5136765834811787;2.82089916953583
73;136;4;2.37647124093578;2.37647124093578;2.4588930127146074
74;186;4;2.920001984337422;2.920001984337422;2.918996710156183
75;114;4;4.606063323790111;4.606063323790111;3.8885235047489606
76;58;3;2.4777863125161153;2.4777863125161153;2.50635758903286
77;105;4;1.7960050248545338;1.7960050248545338;2.0286674060478065
78;113;4;0.0;0.0;3.0287264430842575
79;105;4;2.443529492494237;2.443529492494237;2.7556381921839166
80;101;4;0.0;0.0;2.4323891971571903
81;76;3;2.6853197128466575;2.6853197128466575;2.6413875661881265
82;100;4;1.9913732698431448;1.9913732698431448;2.2271968903798767
83;121;4;1.6632894473858337;1.6632894473858337;1.8723637443285535
84;138;3;3.06631072521127;3.06631072521127;2.9041296588162235
85;59;3;1.8166692298559777;1.8166692298559777;1.786524496873506
86;113;4;2.3540623543888137;2.3540623543888137;2.381801611415455
87;69;4;4.837432426372444;4.837432426372444;3.953472662518061
88;86;3;1.0690991496193751;1.0690991496193751;1.5841591740094536
89;135;4;4.409384343368364;4.409384343368364;3.874582476055401
90;57;4;1.8047085414731903;1.8047085414731903;1.9460998980867708
91;81;3;2.4092621629200996;2.4092621629200996;2.3534781212039126
92;169;4;2.393259468805146;2.393259468805146;2.6244253824916037
93;137;4;2.767215570486682;2.767215570486682;2.8322922699130184
94;75;5;5.003576983992525;5.003576983992525;4.514395088767695
95;73;4;4.194843825604794;4.194843825604794;4.024950812211085
96;112;2;1.446951311186504;1.446951311186504;1.6351959025357692
97;118;4;2.102447734997874;2.102447734997874;2.32287836886379
98;98;4;2.4582147750710184;2.4582147750710184;2.4314415804753517
99;115;4;3.1191949321779955;3.1191949321779955;3.234355969377006
