0.08587896089295884
node;in_degree;local_intrinsic_dimensionality
0;2;1
1;5;2
2;1;2
3;4;2
4;2;2
5;5;2
6;3;2
7;7;2
8;2;2
9;2;2
10;3;2
11;7;2
12;5;2
13;3;2
14;4;1
15;2;2
16;5;2
17;6;2
18;3;2
19;1;1
20;0;2
21;5;2
22;3;2
23;4;2
24;3;2
25;2;2
26;3;2
27;4;2
28;2;2
29;3;2
30;3;2
31;4;2
32;2;2
33;3;2
34;1;2
35;2;2
36;4;2
37;2;2
38;6;2
39;5;2
40;0;2
41;8;2
42;5;2
43;3;2
44;2;2
45;7;2
46;3;2
47;4;2
48;1;1
49;5;1
50;1;2
51;0;2
52;5;2
53;2;2
54;1;2
55;1;2
56;3;2
57;6;2
58;3;2
59;4;1
60;5;2
61;3;2
62;2;2
63;8;2
64;2;2
65;3;2
66;2;2
67;3;2
68;3;2
69;4;2
70;1;2
71;3;2
72;7;2
73;4;2
74;2;2
75;6;2
76;2;2
77;5;2
78;3;2
79;1;2
80;5;2
81;3;2
82;3;2
83;3;2
84;5;2
85;5;2
86;2;2
87;6;2
88;6;2
89;3;2
90;3;2
91;3;2
92;3;2
93;3;2
94;4;2
95;4;2
96;4;2
97;4;2
98;5;2
99;2;2
100;3;2
101;2;2
102;0;1
103;2;1
104;2;2
105;1;2
106;5;2
107;3;2
108;5;2
109;3;2
110;4;2
111;3;2
112;6;2
113;0;1
114;6;2
115;3;2
116;2;2
117;3;2
118;8;2
119;3;2
120;3;1
121;1;2
122;3;2
123;1;2
124;2;2
125;2;2
126;3;2
127;3;2
128;1;2
129;3;2
130;4;2
131;3;2
132;2;2
133;2;1
134;3;2
135;6;2
136;3;2
137;4;1
138;3;2
139;2;2
140;1;2
141;3;2
142;5;2
143;3;2
144;3;2
145;3;1
146;4;2
147;4;2
148;4;2
149;3;2
150;6;2
151;3;2
152;4;2
153;0;2
154;1;2
155;3;2
156;4;2
157;1;2
158;4;2
159;5;2
160;3;2
161;3;2
162;4;1
163;5;2
164;5;1
165;3;2
166;3;2
167;4;2
168;6;2
169;2;2
170;4;2
171;5;2
172;1;2
173;5;2
174;4;2
175;5;2
176;2;2
177;4;2
178;4;1
179;5;2
180;4;2
181;5;2
182;2;2
183;3;1
184;3;2
185;3;2
186;2;2
187;3;2
188;7;2
189;2;2
190;5;2
191;3;2
192;3;2
193;3;2
194;5;2
195;3;2
196;4;2
197;2;2
198;2;2
199;2;2
200;2;2
201;2;2
202;3;1
203;1;2
204;1;2
205;3;2
206;10;2
207;3;2
208;2;2
209;0;2
210;4;1
211;4;2
212;7;1
213;1;2
214;5;2
215;5;2
216;1;2
217;4;2
218;4;2
219;4;2
220;7;2
221;3;2
222;1;2
223;4;2
224;2;2
225;5;2
226;4;2
227;5;2
228;1;2
229;3;2
230;4;2
231;5;2
232;4;2
233;8;2
234;2;2
235;4;2
236;1;2
237;2;1
238;3;2
239;2;2
240;4;2
241;2;1
242;4;2
243;2;2
244;1;2
245;5;2
246;3;2
247;5;1
248;2;1
249;5;2
250;1;2
251;4;2
252;6;2
253;2;2
254;2;2
255;6;2
256;5;2
257;0;2
258;6;2
259;1;1
260;4;2
261;4;2
262;3;2
263;5;2
264;4;1
265;2;1
266;6;2
267;5;2
268;3;2
269;3;2
270;5;2
271;5;2
272;3;2
273;4;2
274;5;2
275;4;2
276;5;2
277;0;1
278;5;2
279;0;2
280;2;2
281;1;2
282;2;2
283;4;2
284;5;2
285;4;2
286;0;2
287;3;2
288;2;2
289;2;2
290;1;2
291;1;2
292;3;2
293;1;2
294;4;2
295;4;1
296;0;1
297;5;2
298;2;2
299;1;2
300;4;2
301;4;2
302;2;2
303;3;2
304;3;1
305;2;2
306;3;2
307;3;2
308;4;2
309;5;2
310;5;2
311;5;2
312;2;2
313;3;1
314;3;2
315;3;2
316;6;2
317;1;2
318;8;2
319;3;2
320;3;2
321;3;2
322;3;2
323;5;2
324;2;2
325;3;2
326;5;2
327;4;1
328;4;2
329;5;2
330;2;2
331;7;2
332;5;2
333;2;2
334;0;2
335;3;2
336;4;2
337;5;2
338;1;2
339;4;2
340;4;2
341;5;2
342;2;2
343;2;1
344;1;2
345;2;2
346;3;2
347;4;2
348;1;2
349;2;2
350;4;2
351;5;2
352;2;1
353;4;2
354;5;2
355;5;2
356;3;2
357;3;2
358;2;2
359;3;1
360;1;2
361;2;2
362;1;2
363;4;2
364;3;2
365;6;1
366;5;1
367;1;2
368;4;2
369;6;2
370;2;2
371;5;2
372;3;2
373;4;2
374;5;2
375;2;2
376;3;2
377;3;1
378;3;2
379;4;2
380;3;2
381;3;2
382;3;2
383;4;2
384;1;2
385;5;2
386;3;2
387;4;2
388;3;2
389;3;2
390;5;2
391;2;2
392;4;2
393;0;2
394;2;2
395;3;2
396;3;2
397;1;2
398;2;2
399;3;2
400;3;2
401;6;2
402;6;2
403;6;2
404;3;2
405;6;2
406;4;2
407;2;1
408;4;2
409;4;2
410;3;2
411;4;1
412;4;2
413;5;2
414;3;2
415;3;2
416;3;2
417;3;2
418;4;2
419;4;2
420;3;2
421;5;2
422;2;1
423;6;2
424;4;2
425;2;2
426;2;1
427;1;2
428;5;2
429;4;2
430;0;2
431;3;2
432;6;2
433;3;2
434;3;2
435;5;2
436;2;1
437;3;2
438;4;2
439;4;2
440;3;2
441;4;2
442;5;2
443;5;2
444;4;2
445;2;2
446;5;2
447;3;2
448;4;2
449;8;2
450;4;2
451;5;2
452;4;2
453;3;2
454;4;2
455;0;2
456;4;2
457;5;2
458;3;2
459;3;2
460;4;2
461;6;2
462;1;2
463;5;2
464;4;2
465;5;2
466;3;2
467;3;2
468;4;2
469;2;2
470;5;2
471;2;2
472;3;2
473;2;2
474;0;2
475;5;2
476;2;2
477;2;2
478;2;2
479;1;2
480;4;2
481;6;2
482;2;2
483;2;1
484;6;2
485;3;2
486;3;1
487;2;2
488;4;2
489;2;2
490;4;2
491;4;2
492;4;2
493;4;2
494;4;1
495;2;2
496;2;2
497;8;2
498;4;2
499;5;2
500;6;2
501;5;2
502;3;2
503;2;2
504;2;2
505;3;2
506;3;2
507;2;2
508;4;2
509;3;2
510;4;1
511;4;2
512;1;2
513;5;2
514;5;2
515;5;2
516;4;2
517;4;1
518;4;2
519;4;2
520;3;2
521;5;1
522;3;2
523;4;2
524;7;2
525;4;2
526;3;2
527;3;2
528;5;2
529;4;2
530;6;2
531;5;2
532;5;2
533;5;2
534;2;2
535;4;2
536;1;2
537;2;2
538;6;2
539;7;2
540;7;2
541;2;1
542;1;1
543;1;1
544;4;2
545;1;2
546;1;2
547;5;2
548;7;2
549;2;2
