Skewness: -0.009988698445505694, Average LID: LPCA: 4.213827586206897  |||  MLE: 3.502104027962983  |||  MLENB: 3.502104027962983  |||  TLE: nan
LPCA: 0.19534208457191526  |||  MLE: -0.33020144203806207  |||  MLENB: -0.33020144203806207  |||  TLE: nan
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;15;2;2.3925319610483924;2.3925319610483924;2.2998597103860394
1;16;3;2.669038468539338;2.669038468539338;2.873824722861827
2;26;5;3.5409612035821065;3.5409612035821065;3.7911671607865602
3;26;3;2.094141132317337;2.094141132317337;2.309160764460353
4;14;4;3.1707485596111074;3.1707485596111074;3.7312111993789143
5;8;3;2.2010925008361037;2.2010925008361037;2.492729735575432
6;31;4;2.683979237990828;2.683979237990828;3.358307458604282
7;16;4;2.2709139179774374;2.2709139179774374;2.6927884599326872
8;13;2;1.8028291118411517;1.8028291118411517;1.8192115976463312
9;10;2;2.2290452709637156;2.2290452709637156;2.457781694179953
10;23;4;3.4997842227906;3.4997842227906;3.688716772932714
11;28;4;2.675996832217358;2.675996832217358;2.9449542996200537
12;23;3;4.064209451123954;4.064209451123954;4.2464567363084855
13;24;3;1.8786977249471932;1.8786977249471932;2.107955583843689
14;16;4;3.2629326337236613;3.2629326337236613;3.350790218039068
15;18;4;2.909146661100757;2.909146661100757;3.1699002938008762
16;26;5;4.45102713171631;4.45102713171631;4.855306090319552
17;21;4;3.001556231017097;3.001556231017097;3.3744503904883243
18;25;3;3.547546071854231;3.547546071854231;3.670687838237052
19;22;2;1.7707784670967983;1.7707784670967983;1.4867507630161134
20;20;4;3.6292044436708;3.6292044436708;3.7945386670008294
21;24;5;3.118066643723663;3.118066643723663;3.539692113158899
22;8;3;1.7786451765576254;1.7786451765576254;2.233710734987918
23;17;3;2.59165182742888;2.59165182742888;2.6725115134525828
24;20;5;3.1488831676509585;3.1488831676509585;3.3811561264256214
25;9;3;3.9827829474224377;3.9827829474224377;3.75631342405214
26;11;4;4.210356363655057;4.210356363655057;4.01283168905677
27;18;4;2.443551477725207;2.443551477725207;2.689964421984199
28;10;3;3.7736238996195794;3.7736238996195794;3.705704684548384
29;23;5;2.2201653377701573;2.2201653377701573;2.5269724728893617
30;14;3;2.456825556774449;2.456825556774449;2.8459129622045007
31;30;2;1.6873862265982227;1.6873862265982227;1.9074173685290747
32;7;4;2.5326066089562547;2.5326066089562547;2.8391770291595644
33;24;4;3.0771855331387585;3.0771855331387585;nan
34;2;3;6.483445402430019;6.483445402430019;4.868110763370318
35;19;3;2.2170609639767287;2.2170609639767287;2.670341796306588
36;12;5;3.828622054876684;3.828622054876684;3.924241380284206
37;23;6;3.0725110257517168;3.0725110257517168;3.3474917835392617
38;15;6;2.7253512867362635;2.7253512867362635;2.85004235311429
39;27;5;2.5202053128183937;2.5202053128183937;2.791443372732925
40;13;4;5.844676198566206;5.844676198566206;4.982039120071958
41;32;6;3.179011535045556;3.179011535045556;nan
42;22;4;2.119319184265356;2.119319184265356;2.345020309332581
43;27;4;3.4287216898693527;3.4287216898693527;3.8757920449685055
44;17;5;2.9133961364592236;2.9133961364592236;3.266350286283516
45;24;4;3.092422838014458;3.092422838014458;3.2269077237213124
46;25;4;5.098760413972969;5.098760413972969;nan
47;27;6;4.063861912708252;4.063861912708252;4.52147575772568
48;14;4;4.278436749560509;4.278436749560509;3.3165998437884427
49;37;3;2.785319926840112;2.785319926840112;2.9992887032992472
50;22;4;3.725113042358291;3.725113042358291;3.788342236214299
51;13;5;4.741882028017465;4.741882028017465;4.335391160229004
52;21;6;3.214680701087308;3.214680701087308;3.6721709791901906
53;9;5;7.22253829145811;7.22253829145811;6.838527809018714
54;21;4;6.377570153245031;6.377570153245031;6.028171265573652
55;18;5;4.853642448487717;4.853642448487717;4.559043080444278
56;20;6;3.9425657425512854;3.9425657425512854;4.228754502465617
57;22;6;2.496392218699337;2.496392218699337;2.8691285444858146
58;8;4;2.4317718220907536;2.4317718220907536;2.4150249610667194
59;14;3;2.4853128964057003;2.4853128964057003;2.3033536912261585
60;33;6;3.290859194964211;3.290859194964211;3.860709358527794
61;29;6;4.389225300006405;4.389225300006405;4.87419817415531
62;18;4;2.9763408893335357;2.9763408893335357;3.097436049602401
63;26;4;3.107886232036971;3.107886232036971;3.6293255842046923
64;33;5;4.641640318645544;4.641640318645544;4.739493971972187
65;24;3;2.1720286595270526;2.1720286595270526;2.2787160198450076
66;19;6;4.950536718972096;4.950536718972096;5.441661272347442
67;19;5;3.1483995841528833;3.1483995841528833;3.221924168470045
68;12;3;3.1815246516316447;3.1815246516316447;3.1633755360524
69;12;4;4.304883977225267;4.304883977225267;4.476088524647084
70;15;1;2.044239833197658;2.044239833197658;1.4218744857750132
71;25;4;2.8772481171399256;2.8772481171399256;3.139676697886414
72;19;6;3.2349854634548634;3.2349854634548634;3.7769434001493583
73;25;4;2.9026679366722323;2.9026679366722323;3.334379209382176
74;15;5;3.976451406443668;3.976451406443668;4.266959606771845
75;23;4;3.2631458977819987;3.2631458977819987;3.331287445647528
76;27;4;4.6715666749338025;4.6715666749338025;4.880242866322023
77;27;5;3.359154646247949;3.359154646247949;3.5981497416497557
78;25;4;4.306521344775269;4.306521344775269;4.356146873929397
79;25;5;5.631280023967314;5.631280023967314;nan
80;26;5;1.8343729005076788;1.8343729005076788;2.214443939986574
81;17;5;2.953080643256245;2.953080643256245;3.3286416749802115
82;23;6;4.48407047094238;4.48407047094238;4.4573558766347565
83;17;5;3.2258207911819636;3.2258207911819636;3.5737795342585046
84;17;4;2.5993826727869838;2.5993826727869838;2.827516567209109
85;28;5;4.553425194354638;4.553425194354638;4.674916632994381
86;8;4;4.092452795831644;4.092452795831644;4.6064265935093704
87;24;5;2.711462421840494;2.711462421840494;3.2300527324258943
88;24;5;3.1344600522487966;3.1344600522487966;nan
89;23;3;2.2606360437782747;2.2606360437782747;2.3239183038877265
90;16;4;4.808183526910945;4.808183526910945;4.289739085518525
91;15;5;3.2094095969395697;3.2094095969395697;3.4414274188089125
92;12;3;2.6727266393087525;2.6727266393087525;2.944439661821735
93;15;4;3.460384085498449;3.460384085498449;3.8536750592102296
94;23;3;2.080143369763699;2.080143369763699;2.405317346864897
95;16;4;2.9447093012310344;2.9447093012310344;3.4253607044359518
96;26;6;3.72047206777096;3.72047206777096;4.052985476860085
97;22;3;1.9013644599182944;1.9013644599182944;2.2066469634403174
98;17;5;2.164811745793909;2.164811745793909;2.6726925507481556
99;14;3;6.11158194305079;6.11158194305079;5.1140808828596995
100;18;5;3.570773585104243;3.570773585104243;3.9688222715259522
101;25;3;2.552735616128988;2.552735616128988;2.618797576903033
102;10;2;2.1640133968165753;2.1640133968165753;2.1027011176312276
103;9;3;6.105964481354776;6.105964481354776;3.964899537688188
104;16;3;4.572911955330493;4.572911955330493;4.302263064437544
105;6;5;7.838192711363513;7.838192711363513;7.094239513399458
106;25;4;3.1305790436084804;3.1305790436084804;4.019956646722846
107;25;3;3.036619195790643;3.036619195790643;3.1414792671973673
108;13;3;1.9753830470893494;1.9753830470893494;2.2083432698688887
109;18;6;3.415640804841581;3.415640804841581;3.802252765200375
110;24;3;2.7674529953637714;2.7674529953637714;3.2993398523115447
111;16;5;2.4585579456476605;2.4585579456476605;2.86406754157884
112;32;5;2.2366278600620904;2.2366278600620904;2.6187501974516856
113;3;4;10.38238382096377;10.38238382096377;6.3786443052320285
114;34;4;3.0618044035510157;3.0618044035510157;3.339327097333409
115;29;5;2.2248385119293475;2.2248385119293475;2.465632842863359
116;23;2;2.732666745689257;2.732666745689257;3.1774618254168856
117;30;7;7.138613684466344;7.138613684466344;nan
118;30;4;1.660249713192612;1.660249713192612;2.0922814802921774
119;26;4;3.5100526144441333;3.5100526144441333;3.453296570037346
120;19;3;1.9729632992964241;1.9729632992964241;2.4757308372651123
121;10;3;4.147242580251128;4.147242580251128;4.514355765008926
122;21;6;2.865569194983852;2.865569194983852;3.0956926607319972
123;21;6;2.8250161654169488;2.8250161654169488;3.1394717792562323
124;9;4;3.662955208347107;3.662955208347107;3.132103592769674
125;8;5;4.0578718446984405;4.0578718446984405;3.9785279103284177
126;38;5;3.176030317592579;3.176030317592579;3.3909420688141627
127;12;4;3.346214428632936;3.346214428632936;3.59835212167384
128;1;4;9.732622240305478;9.732622240305478;6.429276847763868
129;24;4;2.829442499775835;2.829442499775835;3.071447209642898
130;21;4;3.0624029982519265;3.0624029982519265;3.310406522139617
131;22;3;2.1546238789168903;2.1546238789168903;2.569325385977614
132;20;5;4.50577510981646;4.50577510981646;4.498388216020426
133;19;4;2.9281609109498814;2.9281609109498814;3.115663083089777
134;27;5;2.6781115080735813;2.6781115080735813;2.7760404311404545
135;32;5;3.104300448339077;3.104300448339077;3.553207134512647
136;18;4;4.21292445560437;4.21292445560437;4.15595973828834
137;9;4;3.4420838023672355;3.4420838023672355;3.430193196748694
138;12;3;3.7978286801545345;3.7978286801545345;3.985776911241613
139;9;3;4.897946512236246;4.897946512236246;3.8512791021237414
140;12;4;4.794225582892796;4.794225582892796;5.043693089836124
141;10;4;3.6727484626882623;3.6727484626882623;3.6630087075230526
142;23;2;1.8150094576772977;1.8150094576772977;2.083428614975286
143;26;4;3.659737210636177;3.659737210636177;3.808002820724231
144;19;3;2.291197149579475;2.291197149579475;2.512137268972027
145;21;4;3.589107477785275;3.589107477785275;3.7777992416469526
146;36;4;2.5270469471180417;2.5270469471180417;2.7945732331334967
147;20;6;2.9628575261929844;2.9628575261929844;3.339802639428899
148;16;5;2.7459010704179287;2.7459010704179287;3.3459860895154416
149;30;5;3.763876346353964;3.763876346353964;3.876053861246412
150;21;6;2.636570333123351;2.636570333123351;2.9485418111849087
151;30;5;3.3245399361237147;3.3245399361237147;3.6100492220235716
152;17;5;2.1492567291018827;2.1492567291018827;2.804324992846284
153;17;4;4.36311303977264;4.36311303977264;4.1007848530478395
154;11;5;4.820094897323298;4.820094897323298;4.257473368241763
155;15;5;4.082031723654566;4.082031723654566;4.483279163219243
156;25;3;3.1693160155884796;3.1693160155884796;3.6603102217466006
157;14;5;3.1033837440646734;3.1033837440646734;3.0014871556919434
158;21;3;1.8433739585202522;1.8433739585202522;2.2150236475714054
159;17;4;3.439433654880934;3.439433654880934;3.6257975153968074
160;19;4;3.641773929456598;3.641773929456598;3.936006108163102
161;33;4;4.842840877160513;4.842840877160513;5.122853668619922
162;13;2;2.2063359734385704;2.2063359734385704;2.3439257369040654
163;20;4;2.4717948555626834;2.4717948555626834;2.78568419351653
164;15;3;2.857278767809233;2.857278767809233;3.2893869281975268
165;19;3;1.783170195334639;1.783170195334639;2.30646551663956
166;20;2;2.478752122258119;2.478752122258119;2.480278049243864
167;18;5;3.5105651181043642;3.5105651181043642;3.8158007673590233
168;20;6;3.3598751665512157;3.3598751665512157;3.715339950383953
169;23;4;3.7926640481429303;3.7926640481429303;3.985507878184286
170;25;5;2.6654141155257673;2.6654141155257673;3.02114133138658
171;17;4;2.517837199835469;2.517837199835469;2.7716195947894695
172;6;4;3.701241900807745;3.701241900807745;3.5313192242555065
