Skewness: 0.1830861139834496, Average LID: LPCA: 4.939206896551724  |||  MLE: 3.642728007948536  |||  MLENB: 3.642728007948536  |||  TLE: nan
LPCA: 0.2635353324326025  |||  MLE: -0.37419888193456674  |||  MLENB: -0.37419888193456674  |||  TLE: nan
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;47;4;6.711356587911855;6.711356587911855;3.335965429633522
1;66;3;2.955573234738067;2.955573234738067;2.8406312513116583
2;210;6;4.000457861885233;4.000457861885233;4.0503476995213745
3;257;4;2.4998920834517295;2.4998920834517295;2.7006956315240593
4;182;5;3.412516836928071;3.412516836928071;3.5442864391190927
5;224;5;2.5727168974265227;2.5727168974265227;2.6502844069099436
6;226;4;2.382685204602231;2.382685204602231;2.5970326222763562
7;119;5;4.0655890010085285;4.0655890010085285;3.927656869084273
8;111;4;3.1769799728754937;3.1769799728754937;2.7779231473690493
9;154;4;3.597953193498338;3.597953193498338;3.4314914650346626
10;275;4;2.9978022700767126;2.9978022700767126;3.217313381364575
11;253;5;3.064368293835267;3.064368293835267;3.244506768620826
12;225;4;2.868145935350618;2.868145935350618;3.04523644275889
13;309;5;2.9967466334220334;2.9967466334220334;3.182812514447498
14;130;6;4.9025103068271685;4.9025103068271685;4.738469452276598
15;162;5;2.8329320484202496;2.8329320484202496;2.962611111978282
16;185;6;4.42948403916018;4.42948403916018;4.618834952198826
17;178;5;3.402326607966036;3.402326607966036;3.728659639758013
18;146;4;3.5382996139600555;3.5382996139600555;3.563635285602821
19;37;4;6.016338561430472;6.016338561430472;2.056672230736614
20;227;6;4.253856132273706;4.253856132273706;4.33312902287197
21;261;6;2.5277131358964673;2.5277131358964673;2.8310174477754635
22;39;5;5.563023930092482;5.563023930092482;4.62884760883577
23;173;4;4.3180836014570465;4.3180836014570465;3.896771239657517
24;147;6;5.657503874496275;5.657503874496275;5.429729621214559
25;287;5;4.008791531410834;4.008791531410834;3.865817118740725
26;241;4;3.195504192446584;3.195504192446584;3.2338562793565218
27;109;6;3.385462536612934;3.385462536612934;3.5344649401170205
28;155;6;5.80355442535597;5.80355442535597;5.433446279749004
29;270;5;3.63044131257213;3.63044131257213;3.720989255871397
30;416;6;4.49982180914647;4.49982180914647;4.41363236760628
31;185;5;2.421923801954524;2.421923801954524;2.7469880807610085
32;85;5;3.5487315326318964;3.5487315326318964;3.164283757681524
33;192;4;2.7047174029568133;2.7047174029568133;2.8954059836682315
34;86;4;4.3377592070428035;4.3377592070428035;3.5981077685774654
35;159;3;2.8754108328366286;2.8754108328366286;2.963019934968549
36;200;4;3.2686231683641127;3.2686231683641127;3.255597589597233
37;161;6;2.9256837175514048;2.9256837175514048;3.165192218356621
38;149;5;3.537428346612024;3.537428346612024;3.6718292572169604
39;180;5;3.015130025911744;3.015130025911744;3.3927638701854415
40;250;5;4.0654535572186825;4.0654535572186825;3.857407214994978
41;365;6;3.2764785894788617;3.2764785894788617;3.6761051665711486
42;278;5;2.7506800694901616;2.7506800694901616;2.9539062800830376
43;236;5;3.603482459845506;3.603482459845506;3.6981139198739728
44;190;5;2.6297109157127516;2.6297109157127516;2.7558643327189145
