-0.04865046442793662
node;in_degree;local_intrinsic_dimensionality
0;7;3
1;0;0
2;1;4
3;0;0
4;0;0
5;24;2
6;0;0
7;1;2
8;23;1
9;0;0
10;1;1
11;0;0
12;1;5
13;14;1
14;0;0
15;5;2
16;0;0
17;9;2
18;1;8
19;3;4
20;1;7
21;0;0
22;0;0
23;1;6
24;3;7
25;1;2
26;1;4
27;1;5
28;1;5
29;1;4
30;1;2
31;9;2
32;1;4
33;10;0
34;1;4
35;0;0
36;1;6
37;1;1
38;1;1
39;0;0
40;2;3
41;3;1
42;5;1
43;2;4
44;1;3
45;4;2
46;7;2
47;4;1
48;1;7
49;1;9
50;1;7
51;0;0
52;19;7
53;0;0
54;1;6
55;10;4
56;56;1
57;11;2
58;4;7
59;5;6
60;1;3
61;1;5
62;41;1
63;7;6
64;1;5
65;1;5
66;1;9
67;0;0
68;1;8
69;3;2
70;5;2
71;1;8
72;23;3
73;1;7
74;12;1
75;225;0
76;55;0
77;0;0
78;1;4
79;7;6
80;3;3
81;2;8
82;1;5
83;1;4
84;1;3
85;121;1
86;1;3
87;1;4
88;1;5
89;1;5
90;1;5
91;0;0
92;0;0
93;6;0
94;0;0
95;284;3
96;0;0
97;93;0
98;1;7
99;1;8
100;29;4
101;5;2
102;9;4
103;1;9
104;1;8
105;0;0
106;1;7
107;0;0
108;1;7
109;3;3
110;1;4
111;4;7
112;1;6
113;1;4
114;0;0
115;0;0
116;0;0
117;5;3
118;17;2
119;0;0
120;3;2
121;1;6
122;9;2
123;1;8
124;2;5
125;1;3
126;1;8
127;6;7
128;1;9
129;0;0
130;1;9
131;1;9
132;1;11
133;1;3
134;0;0
135;1;6
136;1;5
137;228;2
138;17;3
139;2;5
140;1;8
141;6;3
142;26;8
143;0;0
144;52;1
145;0;0
146;1;9
147;58;2
148;1;9
149;53;1
150;1;5
151;1;2
152;1;3
153;1;6
154;1;4
155;108;0
156;0;0
157;17;2
158;1;5
159;118;5
160;1;5
161;1;3
162;0;0
163;1;9
164;2;5
165;0;0
166;3;8
167;0;0
168;0;0
169;0;0
170;1;6
171;1;4
172;1;8
173;2;2
174;1;6
175;0;0
176;1;9
177;1;4
178;1;5
179;1;9
180;1;11
181;19;2
182;7;3
183;0;0
184;1;6
185;0;0
186;1;8
187;7;4
188;1;8
189;1;6
190;1;7
191;3;5
192;1;7
193;1;4
194;1;10
195;1;5
196;0;0
197;148;2
198;1;8
199;1;7
200;2;3
201;1;7
202;1;6
203;0;0
204;4;4
205;136;10
206;3;1
207;1;5
208;2;5
209;0;0
210;1;2
211;0;0
212;0;0
213;1;5
214;1;4
215;532;9
216;0;0
217;31;1
218;0;0
219;7;3
220;23;5
221;8;3
222;0;0
223;2;2
224;5;2
225;1;7
226;57;0
227;1;3
228;2;2
229;1;5
230;1;9
231;1;8
232;1;3
233;3;4
234;1;5
235;21;5
236;1;7
237;18;0
238;1;7
239;3;6
240;0;0
241;0;0
242;7;4
243;37;1
244;1;7
245;50;6
246;43;1
247;1;8
248;10;3
249;4;5
250;2;12
