Skewness: 0.4096456267399622, Average LID: LPCA: 11.923076923076923  |||  MLE: 5.668562362698304  |||  MLENB: 5.668562362698304  |||  TLE: 5.215894278982544
LPCA: -0.30211808718203376  |||  MLE: -0.338237451184208  |||  MLENB: -0.338237451184208  |||  TLE: -0.3064009489862537
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;56;13;6.933858142330874;6.933858142330874;6.332503134842626
1;21;15;4.454990554428154;4.454990554428154;4.0726596223031635
2;24;12;12.693886023850798;12.693886023850798;9.051960327176193
3;26;13;8.523870862686033;8.523870862686033;7.128602961435056
4;35;12;11.394576207755065;11.394576207755065;8.590952563337302
5;24;15;5.696492175046581;5.696492175046581;4.766873148796956
6;44;14;11.425392551306436;11.425392551306436;9.270414577727802
7;58;11;8.728062136961157;8.728062136961157;6.697079092635627
8;36;13;11.918640803619478;11.918640803619478;9.15945452316044
9;65;11;3.618461418335569;3.618461418335569;3.6142224991037804
10;66;9;4.531200115303882;4.531200115303882;4.238758982733747
11;88;12;7.072355761480036;7.072355761480036;5.8827463955613775
12;54;13;5.161269239802785;5.161269239802785;4.826667140588292
13;90;13;11.863954560909256;11.863954560909256;9.216236976572416
14;81;14;9.913184693806452;9.913184693806452;8.86226661866059
15;44;13;13.109754989574649;13.109754989574649;10.362538904580145
16;53;11;7.808035118008828;7.808035118008828;6.828316563242455
17;38;14;6.596362190818624;6.596362190818624;5.722037350228148
18;68;11;6.602244920695088;6.602244920695088;5.741566072323793
19;35;11;5.281251139056499;5.281251139056499;4.551139472736762
20;39;13;9.644827285120762;9.644827285120762;8.456476532740743
21;27;14;6.101151334735721;6.101151334735721;5.398673003228189
22;22;13;5.055959714213014;5.055959714213014;4.303672463278657
23;73;12;5.933710902179876;5.933710902179876;5.548122340062395
24;37;11;5.921476687213207;5.921476687213207;5.099421231301549
25;41;10;5.1950205352270045;5.1950205352270045;4.5404056193526845
26;73;14;4.3709134202529425;4.3709134202529425;4.348958387017635
27;80;11;9.765481534282923;9.765481534282923;6.904027848533633
28;67;14;5.7144972955520466;5.7144972955520466;5.506135793637702
29;28;10;11.800375970244147;11.800375970244147;7.811356197566139
30;120;12;7.247152677683071;7.247152677683071;5.960584350353504
31;59;11;9.95410249111832;9.95410249111832;7.377102937687
32;67;12;10.831403225024843;10.831403225024843;9.280601554410104
33;37;12;8.488963058472233;8.488963058472233;7.275392526628492
34;54;10;11.086589750137367;11.086589750137367;8.969644642188833
35;78;15;8.932336952770001;8.932336952770001;6.8005931417305865
36;56;14;5.339634946794084;5.339634946794084;5.1973423573729844
37;72;11;4.364596983377296;4.364596983377296;4.02720112224425
38;77;11;3.8517821030911916;3.8517821030911916;3.6925903517923593
39;72;11;6.225017494589569;6.225017494589569;5.609341011869967
40;72;13;3.9566720371702395;3.9566720371702395;3.711847495742423
41;85;12;4.70649298428925;4.70649298428925;4.6135016799893664
42;38;11;5.022783687633843;5.022783687633843;4.591989850230423
43;23;12;6.944394973831971;6.944394973831971;5.6981435582791224
44;30;12;7.811193639718391;7.811193639718391;6.51894434603541
45;34;13;6.7871007509320815;6.7871007509320815;6.120758348977991
46;50;14;6.581063493186928;6.581063493186928;5.835412145199826
47;60;14;8.385626090407106;8.385626090407106;7.874369924584165
48;87;13;7.261931948706593;7.261931948706593;7.057350393399428
49;81;12;7.000539920867963;7.000539920867963;6.6383450078255315
50;37;11;4.777471347263359;4.777471347263359;4.467474420756268
51;105;12;6.3915685864251595;6.3915685864251595;5.763293971817853
52;113;10;3.2433449463584347;3.2433449463584347;3.5039698714923238
53;127;11;3.2224132732748814;3.2224132732748814;3.727413330333128
54;130;12;3.0337559948018975;3.0337559948018975;3.616376420789791
55;121;11;2.8757295718316196;2.8757295718316196;3.3922002316246274
56;104;11;2.8639726243856507;2.8639726243856507;3.3812851163341144
57;99;11;4.146203435076186;4.146203435076186;4.333852016424697
58;74;11;3.6357444447568366;3.6357444447568366;4.019539891725227
59;90;10;3.6176682631616623;3.6176682631616623;3.9267920199736066
60;78;10;3.428343682557421;3.428343682557421;3.8163570730509258
61;84;11;3.972435913431535;3.972435913431535;4.175946137276466
62;52;11;4.7244515710453685;4.7244515710453685;4.9827942784151125
63;101;13;5.318492072009263;5.318492072009263;5.144345022135893
64;22;13;4.088692847668876;4.088692847668876;4.167651784416164
65;26;12;4.04590148371814;4.04590148371814;4.415318817127756
66;30;12;4.21148429603211;4.21148429603211;4.3853977281619
67;26;12;4.059111857132527;4.059111857132527;4.435496007078618
68;49;10;5.56873942436685;5.56873942436685;5.049360979735973
69;39;14;3.7142028203387523;3.7142028203387523;3.6645793347807425
70;39;15;3.597799992432748;3.597799992432748;3.623227724413975
71;44;14;3.607180401836649;3.607180401836649;3.7785635091037584
72;39;14;3.462413570422453;3.462413570422453;3.48728671729862
73;92;13;5.219641138806662;5.219641138806662;4.722536356327854
74;60;9;4.034471547107251;4.034471547107251;4.1563655128748955
75;56;11;3.6422652316568995;3.6422652316568995;3.9571761791787345
76;48;10;3.457413225877256;3.457413225877256;3.6908251284240943
77;68;10;3.502545348712939;3.502545348712939;3.8299284032805074
78;63;11;3.9017750969496623;3.9017750969496623;4.083639931957069
79;73;10;4.517587479855544;4.517587479855544;4.4420630672282355
80;48;11;4.669609219965026;4.669609219965026;4.302253066048045
81;61;13;3.6056333590020078;3.6056333590020078;3.8127055345425065
82;56;11;3.9819547888358353;3.9819547888358353;3.9072378112502073
83;56;10;3.8451398862504242;3.8451398862504242;3.943884795838048
84;58;10;3.6815270034010523;3.6815270034010523;3.7740791822087556
85;44;14;6.166576214020861;6.166576214020861;5.971403182140817
86;32;12;6.627375530184004;6.627375530184004;6.73174987651267
87;34;15;7.8822606407337785;7.8822606407337785;8.0537638709307
88;68;13;5.316550771166755;5.316550771166755;5.042584427834141
89;36;13;7.177229690347024;7.177229690347024;7.2596489994375695
90;20;14;10.124108998332856;10.124108998332856;7.383314407950558
91;21;15;9.734366495626393;9.734366495626393;6.634793338809871
92;77;12;3.70546646907363;3.70546646907363;3.9126852030908887
93;67;12;6.877684302337818;6.877684302337818;5.724390801689844
94;85;11;3.5541334644854006;3.5541334644854006;3.700834596003738
95;31;11;6.649584694784392;6.649584694784392;5.635740763871623
96;29;10;7.03649835545868;7.03649835545868;5.830214935893868
97;54;13;8.111850784097316;8.111850784097316;7.791194947357203
98;52;13;10.964929815656898;10.964929815656898;8.506139070625123
99;55;15;7.290233991586102;7.290233991586102;6.05832577803339
100;12;16;4.32119439844314;4.32119439844314;3.746840642386564
101;14;15;4.642684663851189;4.642684663851189;4.005207643212349
102;28;16;4.205635642900322;4.205635642900322;3.98862198309224
103;29;13;3.9330909584772438;3.9330909584772438;3.6351789793356795
104;29;13;4.370064748011775;4.370064748011775;3.9945437391243788
105;64;13;3.0877771995789822;3.0877771995789822;3.2855402758570738
106;94;14;5.061351904700605;5.061351904700605;5.583383948544438
107;82;14;4.673475096597722;4.673475096597722;5.0145272458089885
108;77;14;3.858187163350233;3.858187163350233;4.3068766619546395
109;91;11;5.204593316262285;5.204593316262285;5.203273432120134
110;90;12;4.804092617849941;4.804092617849941;5.017950865469468
111;62;14;4.732095937914747;4.732095937914747;4.669455647197821
112;66;13;4.109591677621324;4.109591677621324;4.306887954554794
113;81;15;3.7560734041121875;3.7560734041121875;4.121442865541047
114;77;12;3.020206876651364;3.020206876651364;3.327480130205299
115;77;13;4.086817815953465;4.086817815953465;4.374927453198846
116;79;11;3.6131905470464973;3.6131905470464973;3.841152082387048
117;97;8;3.700546372806646;3.700546372806646;4.01153763655603
118;88;9;3.387719326995672;3.387719326995672;3.6709193016772117
119;94;8;3.3247544356614798;3.3247544356614798;3.7496635615286356
120;110;9;4.307058049316076;4.307058049316076;4.429655625697882
121;85;9;3.3679148164647117;3.3679148164647117;3.92412268207253
122;66;8;3.34034167606364;3.34034167606364;3.8320012951357025
123;102;9;3.4520815465722485;3.4520815465722485;3.985620838428234
124;108;9;4.532742482820209;4.532742482820209;4.688470887363558
125;75;10;3.668641074178907;3.668641074178907;3.8318589917123256
126;46;10;3.8549603070135983;3.8549603070135983;3.8287944666805886
127;45;12;4.11531585276568;4.11531585276568;3.7207663678777365
128;56;11;3.0978049266818117;3.0978049266818117;3.2287962821353275
129;52;11;4.150160594934351;4.150160594934351;4.108450397738188
130;23;14;4.198087397399032;4.198087397399032;3.858328589500094
131;14;12;5.833817194273416;5.833817194273416;5.707202943059142
132;19;12;6.781546697208936;6.781546697208936;6.970339650026894
133;14;13;6.580963466703957;6.580963466703957;6.4826581689403175
134;13;13;6.254523675926985;6.254523675926985;5.9606385947476825
135;13;13;6.160252943977903;6.160252943977903;5.956623485092395
136;17;13;6.4856264940190975;6.4856264940190975;6.153000422537076
137;26;13;10.67471673482884;10.67471673482884;8.42051120355442
138;54;12;9.12947117922671;9.12947117922671;6.4819035675902725
139;137;12;5.788690278092712;5.788690278092712;5.390745871706803
140;37;12;6.8098276959516895;6.8098276959516895;5.954556250332981
141;37;11;7.9939348554201315;7.9939348554201315;6.536429941618765
142;53;13;6.331800049769367;6.331800049769367;5.673221768405944
143;25;14;5.79071202008374;5.79071202008374;5.008367053119596
144;44;13;6.019058983022208;6.019058983022208;5.3711551557226125
145;63;14;10.593290633153723;10.593290633153723;9.095017190281167
146;33;12;6.5350573372794525;6.5350573372794525;5.58395761808406
147;20;11;11.668465018590702;11.668465018590702;8.67489176730603
148;32;11;13.650935885493814;13.650935885493814;9.175737252282719
149;62;12;11.448577602656878;11.448577602656878;9.303617268407145
150;41;13;5.886230073600288;5.886230073600288;5.312422593685585
151;74;14;5.35257749079012;5.35257749079012;5.229364585885574
152;49;10;9.50189109902946;9.50189109902946;7.944141520922769
153;56;12;3.4090237718115017;3.4090237718115017;3.4713935000733596
154;66;10;3.890968395820779;3.890968395820779;3.9377910150925115
155;50;14;4.103354543161512;4.103354543161512;3.9696402283318055
156;51;12;5.207001797137324;5.207001797137324;5.625526547797675
157;35;12;4.57801301200593;4.57801301200593;5.248162800526145
158;37;12;4.45445392613526;4.45445392613526;4.8975797856665775
159;43;12;5.0940094649246985;5.0940094649246985;5.4348280173293855
160;54;11;4.967869780786637;4.967869780786637;5.1661098165350365
161;36;11;4.900008910429683;4.900008910429683;5.46462081407666
162;139;13;6.79444971523753;6.79444971523753;6.067800532909812
163;55;12;7.976453994113505;7.976453994113505;7.23326422028663
164;20;11;8.182604006488425;8.182604006488425;6.906409379719707
165;19;11;7.502401852331545;7.502401852331545;6.629988881122751
166;46;10;7.13786641111571;7.13786641111571;6.057702052060945
167;38;11;7.715953445627926;7.715953445627926;6.397188715744953
168;27;11;5.77034873540389;5.77034873540389;5.671155695499485
169;53;13;6.129353026680546;6.129353026680546;6.13308300727871
170;37;12;5.19877178622234;5.19877178622234;5.068668018202687
171;39;12;8.934904285329916;8.934904285329916;7.197402228617343
172;90;13;8.594967244532894;8.594967244532894;6.84440169689309
173;91;11;9.53810214915255;9.53810214915255;7.396491755777055
174;60;12;6.717560856940478;6.717560856940478;5.757375240089826
175;77;11;5.486434977894869;5.486434977894869;5.107890183996201
176;64;11;5.760991283103859;5.760991283103859;5.175767123271781
177;109;11;5.156994778917096;5.156994778917096;4.869711046384947
178;114;12;3.4233909445792237;3.4233909445792237;3.75895904651581
179;108;12;5.82304833579425;5.82304833579425;5.356867877987638
180;60;11;4.819582558589793;4.819582558589793;4.4975005679622555
181;35;11;5.768376723144752;5.768376723144752;5.0798171218744494
182;63;12;5.353549612780717;5.353549612780717;5.106407355323078
183;37;11;4.986250058240581;4.986250058240581;4.774302012587049
184;36;12;5.8923758190228686;5.8923758190228686;5.105517163736074
185;41;12;4.525026925358694;4.525026925358694;4.30899855999282
186;30;11;5.689358790501357;5.689358790501357;4.84553303167707
187;81;12;4.220381015082019;4.220381015082019;4.455259960946942
188;87;12;3.586626233220716;3.586626233220716;4.010852417999037
189;107;12;3.039869792346961;3.039869792346961;3.6071215026348313
190;101;11;2.8276289160236523;2.8276289160236523;3.433590228160059
191;99;12;2.584949840920934;2.584949840920934;3.212525936392307
192;94;12;2.589711748210777;2.589711748210777;3.1683939871622426
193;97;12;2.6595927569340114;2.6595927569340114;3.2126654246966067
194;83;11;2.73219639411741;2.73219639411741;3.0826059158133257
195;94;11;2.761237951544041;2.761237951544041;3.256361885314719
196;76;10;3.1145205403472445;3.1145205403472445;3.713325142933251
197;96;10;2.7417501849128683;2.7417501849128683;3.367730841457605
198;85;12;2.708759317390944;2.708759317390944;3.30599845435414
199;92;10;3.131147009140748;3.131147009140748;3.7103730921847515
200;82;10;3.3624993036832924;3.3624993036832924;3.812163302542036
201;84;10;3.2192125591865635;3.2192125591865635;3.7618539848177646
202;67;12;3.411016329610309;3.411016329610309;3.47482614544994
203;70;12;2.840857544578353;2.840857544578353;3.1069419437429815
204;59;12;2.9692195380436672;2.9692195380436672;3.145095683732351
205;56;12;2.959300788323342;2.959300788323342;3.10835371656648
206;73;11;2.9225048409899776;2.9225048409899776;3.236635253223686
207;87;10;3.447773219982701;3.447773219982701;3.6773931552819548
