Skewness: -0.02566123186667153, Average LID: LPCA: 4.868173258003766  |||  MLE: 3.2985579794532995  |||  MLENB: 3.2985579794532995  |||  TLE: 3.1361286898603846
LPCA: 0.6687264807637323  |||  MLE: -0.07105503651060413  |||  MLENB: -0.07105503651060413  |||  TLE: 0.3840082351385811
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;32;5;4.735477248000539;4.735477248000539;3.3710801583725063
1;28;3;3.154319165133534;3.154319165133534;2.1645133294883823
2;19;4;4.07785702848192;4.07785702848192;2.6600782440986825
3;48;3;1.1582067624114132;1.1582067624114132;1.5827439161859322
4;148;6;3.8514774451051736;3.8514774451051736;3.7327434997595255
5;48;4;5.1491421318329875;5.1491421318329875;3.209759852965228
6;94;6;3.058315932125449;3.058315932125449;3.234109623707595
7;39;5;2.7806259017299957;2.7806259017299957;2.601403296718398
8;46;3;1.2676999306044345;1.2676999306044345;1.6055521305575002
9;86;6;3.745687763799209;3.745687763799209;3.290083730977759
10;173;5;2.823356502124977;2.823356502124977;2.99219292884243
11;45;3;1.336863732318973;1.336863732318973;1.6352772602988783
12;139;6;2.4674621083774744;2.4674621083774744;2.842451709258175
13;55;3;1.3137372906924547;1.3137372906924547;1.6317321164314755
14;164;5;2.5957346764563303;2.5957346764563303;2.871427549038962
15;131;6;2.4074857714867943;2.4074857714867943;2.615985363699466
16;150;6;2.9854497936345608;2.9854497936345608;3.1901456403096624
17;111;5;3.16640729977109;3.16640729977109;3.3534234543392762
18;154;6;2.8540024325310696;2.8540024325310696;3.0726166896985134
19;94;5;3.2118633689533898;3.2118633689533898;3.127990992940008
20;62;3;2.568623150297902;2.568623150297902;2.302079016219711
21;102;5;2.840614682420093;2.840614682420093;2.886566804839304
22;119;5;3.85113832862371;3.85113832862371;3.9354724258203144
23;100;6;2.2444139914537247;2.2444139914537247;2.5071768959042506
24;72;5;4.5992304975999465;4.5992304975999465;4.25951305266653
25;48;3;1.1711715046421953;1.1711715046421953;1.5769883532746245
26;167;6;2.598841452631873;2.598841452631873;2.980770630757614
27;102;6;2.2013133510706213;2.2013133510706213;2.4829368018774147
28;98;5;4.871047004102408;4.871047004102408;4.352480282017554
29;135;6;2.921473159338893;2.921473159338893;3.1944949229165176
30;142;6;3.769560727277446;3.769560727277446;3.794966328801836
31;72;4;2.5006715791704313;2.5006715791704313;2.4717926544575364
32;92;4;3.4046366415735694;3.4046366415735694;3.0392793341292452
33;99;5;4.517970372590348;4.517970372590348;4.3997509742210905
34;90;5;3.988260391407813;3.988260391407813;3.8767251497620143
35;33;6;3.316624333869833;3.316624333869833;2.5262715714808013
36;130;4;4.1172845145566415;4.1172845145566415;4.051734021309083
37;139;6;3.1171865633992257;3.1171865633992257;3.079040172603653
38;62;4;4.822834663006632;4.822834663006632;4.269952932074879
39;59;3;2.363722282208172;2.363722282208172;2.3620807662850383
40;113;6;3.639619143563244;3.639619143563244;3.587347042907714
41;106;6;4.442117747279131;4.442117747279131;3.728093534043106
42;158;6;3.5064561587576524;3.5064561587576524;3.8321379684629058
43;66;4;2.2468173739294515;2.2468173739294515;2.307228191384233
44;138;6;3.8549459340943817;3.8549459340943817;3.6662807090601053
45;172;5;3.4711310859589632;3.4711310859589632;3.5764649005752145
46;60;3;2.9217590404544427;2.9217590404544427;2.4766184136579015
47;49;3;1.2197670057406467;1.2197670057406467;1.6020906968023048
48;133;6;3.7489184970175207;3.7489184970175207;3.826496435812266
49;108;6;2.624107314638445;2.624107314638445;2.9128595927748124
50;163;6;3.8078956090626166;3.8078956090626166;3.9211146554240783
51;98;4;2.8825623443037798;2.8825623443037798;2.9495144327437703
52;85;4;3.2490458239228253;3.2490458239228253;3.195395961483913
53;52;3;2.523372997959775;2.523372997959775;2.220729817060493
54;75;3;2.3383234710769982;2.3383234710769982;2.409473534452716
55;57;3;2.250864352857791;2.250864352857791;2.224623709178041
56;136;6;3.7305491564999995;3.7305491564999995;3.690182525313164
57;81;6;2.5686336216230536;2.5686336216230536;2.6243601069773823
58;129;6;4.582659473990342;4.582659473990342;4.126407817431921
59;45;5;2.868214053999422;2.868214053999422;2.917193782683
60;31;4;4.52500438453993;4.52500438453993;3.758464197484587
61;149;5;2.599666303862049;2.599666303862049;2.8361535811651515
62;75;4;2.643462496760401;2.643462496760401;2.6439521570931177
63;46;5;3.412096485874296;3.412096485874296;3.0947917511272682
64;65;4;4.542203547633331;4.542203547633331;4.208822408095415
65;45;3;1.3377830178192016;1.3377830178192016;1.6172059100437066
66;29;4;3.1797305748895215;3.1797305748895215;2.2092397535567727
67;43;3;2.7471496752959768;2.7471496752959768;2.2503726134138384
68;70;5;3.6269836195386405;3.6269836195386405;3.6564127658782213
69;80;4;3.8592284008924955;3.8592284008924955;3.787986156489735
70;130;5;3.726059682575445;3.726059682575445;3.8852232754612603
71;94;4;3.983707824157454;3.983707824157454;3.486906002207731
72;109;4;2.528586369019776;2.528586369019776;2.7704751976168427
73;68;6;5.278998134211386;5.278998134211386;4.147583057996658
74;52;5;3.8876160081408275;3.8876160081408275;3.029583782433393
75;110;5;3.9867618136351677;3.9867618136351677;3.952738730340659
76;43;3;1.6150789669680343;1.6150789669680343;1.6922144049630017
77;113;6;3.012586823028256;3.012586823028256;3.338795627319394
78;112;6;4.819620573160112;4.819620573160112;4.042715013445345
79;56;3;1.4326558008279497;1.4326558008279497;1.6861309520530876
80;155;6;2.3354760030156436;2.3354760030156436;2.6074762511915286
81;51;3;1.2516425099746173;1.2516425099746173;1.6119860949397857
82;101;5;3.691227794265138;3.691227794265138;3.4999817498395043
83;169;6;2.7479490590392333;2.7479490590392333;3.0854361634321066
84;44;3;1.3228704368052755;1.3228704368052755;1.621037963858156
85;179;5;2.5844470203524232;2.5844470203524232;2.81990347343245
86;153;5;3.524959649981035;3.524959649981035;3.507714460559961
87;46;3;3.4160704915617863;3.4160704915617863;2.491037094392416
88;48;3;1.1517891079956701;1.1517891079956701;1.574909101901347
89;17;4;3.275890003304352;3.275890003304352;1.946599506714137
90;105;5;3.460930153276997;3.460930153276997;3.3786783399525664
91;99;5;3.467998047685813;3.467998047685813;3.476788126639562
92;47;3;1.2429369134236625;1.2429369134236625;1.5965798410608436
93;122;5;2.976723444339751;2.976723444339751;3.159184770469054
94;150;6;3.460145834185481;3.460145834185481;3.7729827264612834
95;114;5;2.9652137645728316;2.9652137645728316;2.949376647853569
96;118;5;2.7018163252983416;2.7018163252983416;2.8328680334777547
97;46;5;2.8508399456715003;2.8508399456715003;2.8422822799171783
98;147;5;3.25606457659775;3.25606457659775;3.3678690954313595
99;60;3;1.7705663754669971;1.7705663754669971;1.8440601572247746
100;88;5;6.396640512585551;6.396640512585551;5.323250813377346
101;125;6;3.523015332390026;3.523015332390026;3.5849368358771336
102;115;5;3.6791677945136807;3.6791677945136807;3.70877375364906
103;166;6;2.9764300401557784;2.9764300401557784;3.2023489538855516
104;60;3;5.043612599906902;5.043612599906902;3.566429418850053
105;58;5;3.329974489566264;3.329974489566264;3.3161505153500803
106;67;3;2.8025973724580684;2.8025973724580684;2.6811196264667023
107;170;6;2.286965481665067;2.286965481665067;2.6130880009882826
108;111;6;3.2158735646144976;3.2158735646144976;3.2097907822613214
109;127;5;3.7102165972431465;3.7102165972431465;3.5239410754953124
110;82;5;3.633493339244236;3.633493339244236;3.570104818963783
111;19;4;3.2098667686010303;3.2098667686010303;1.9778836025951179
112;29;5;3.73492132745543;3.73492132745543;2.8457030915084514
113;181;6;3.1617771804562507;3.1617771804562507;3.342036420166389
114;89;6;3.0050047231891153;3.0050047231891153;3.1723949748472657
115;139;5;3.5345852617191094;3.5345852617191094;3.6009093869190454
116;137;5;2.975398002294394;2.975398002294394;3.0149235044763354
117;110;5;2.866187964145302;2.866187964145302;2.942994810962866
118;56;3;1.479706971518052;1.479706971518052;1.717519770685095
119;89;4;3.786371100857815;3.786371100857815;3.524480623486916
120;18;4;4.904434130366573;4.904434130366573;3.718286072895494
121;62;3;3.228156850662904;3.228156850662904;2.67938806965518
122;167;6;3.4077308519716447;3.4077308519716447;3.575955839578244
123;166;5;3.574546509851877;3.574546509851877;3.5856977231466267
124;71;6;3.642710078869416;3.642710078869416;3.593574193535118
125;60;5;3.112989892043812;3.112989892043812;3.2313686484443305
126;184;6;3.1071013376556724;3.1071013376556724;3.334298967473603
127;71;3;2.2449942309335036;2.2449942309335036;2.3317826982256835
128;54;5;3.599743416964938;3.599743416964938;3.6247620038620214
129;107;5;4.7778228603203114;4.7778228603203114;4.296732043844095
130;61;6;2.57456044035359;2.57456044035359;2.4960305745338918
131;137;6;3.635479728689845;3.635479728689845;3.3148914023415763
132;80;5;3.361187797161284;3.361187797161284;3.2732548525239404
133;79;4;3.4680729742105187;3.4680729742105187;3.590733298273607
134;113;6;2.686008186647594;2.686008186647594;2.8205320753086975
135;69;3;2.3389131754752714;2.3389131754752714;2.3096193932234175
136;178;6;4.088644865956395;4.088644865956395;4.034573006723697
137;124;5;3.0121273937667814;3.0121273937667814;3.1588025599068663
138;119;4;2.954404676521038;2.954404676521038;3.047099188911399
139;128;6;3.488340015358385;3.488340015358385;3.5260463179912085
140;98;5;3.3013879673007627;3.3013879673007627;3.1891443318066885
141;155;6;2.5691420047922966;2.5691420047922966;2.8124388912925276
142;91;5;3.523234853560289;3.523234853560289;3.658751037976771
143;50;4;2.467993387327525;2.467993387327525;2.203174907336148
144;47;3;1.1744808040840946;1.1744808040840946;1.5810122056271976
145;48;3;1.1675117532485275;1.1675117532485275;1.5706773115634602
146;24;3;4.4285892717483915;4.4285892717483915;2.822337464749029
147;123;6;3.2042546574794364;3.2042546574794364;3.005533810429428
148;111;5;3.45324454412191;3.45324454412191;3.438964781138485
149;160;6;3.588683889226328;3.588683889226328;3.5283393303782513
150;92;5;3.5019396045091122;3.5019396045091122;3.270951683492589
151;74;3;3.8823457144423803;3.8823457144423803;3.2934073794693135
152;171;5;3.6138661020591316;3.6138661020591316;3.747516862601407
153;147;5;2.765183922487004;2.765183922487004;2.9708857687004073
154;112;5;2.748217260615156;2.748217260615156;2.8957045321678887
155;86;4;5.407870483805464;5.407870483805464;4.263906588200966
156;104;6;3.11575786201231;3.11575786201231;3.3098126651236974
157;161;6;2.7080093350814494;2.7080093350814494;2.9078346897260574
158;58;3;2.8540241250093894;2.8540241250093894;2.654246610554766
159;72;3;2.5858276914016622;2.5858276914016622;2.2875365755876493
160;147;6;4.997420204487659;4.997420204487659;4.102889001315627
161;104;5;4.588657286330633;4.588657286330633;4.216224784412448
162;120;5;2.7027532558041254;2.7027532558041254;2.8718500070393578
163;130;6;3.8746483887453262;3.8746483887453262;3.7061915175196742
164;168;6;2.906150315601869;2.906150315601869;3.1310860758976258
165;167;6;3.475036697268236;3.475036697268236;3.644079046164238
166;71;3;2.18163280217779;2.18163280217779;2.2914582941516146
167;110;6;4.57064879149289;4.57064879149289;4.2406079404033585
168;135;5;3.506891197527314;3.506891197527314;3.5724444756422513
169;120;5;3.5000467414690437;3.5000467414690437;3.713921230204834
170;160;5;2.9557335495320616;2.9557335495320616;3.18409269138676
171;153;5;2.9769569891046532;2.9769569891046532;3.2143737974397366
172;23;3;4.674986043198942;4.674986043198942;2.487194461906152
173;117;6;2.9519322015003975;2.9519322015003975;2.8505171076089586
174;76;4;3.2943860147131185;3.2943860147131185;3.4315623993435254
175;45;3;1.2247832991134115;1.2247832991134115;1.5845941113489002
176;126;6;3.128106488032798;3.128106488032798;3.270282398966353
177;110;5;4.120553449007346;4.120553449007346;4.083357457998776
178;112;5;5.531958813485785;5.531958813485785;5.128565596475509
179;47;4;2.8007434853029167;2.8007434853029167;2.350579451700633
180;109;4;3.2523671526263382;3.2523671526263382;3.156779806980421
181;137;6;2.785774235603497;2.785774235603497;3.1375371756310777
182;37;4;4.215443783277578;4.215443783277578;3.5888682405519807
183;144;6;3.409552712132078;3.409552712132078;3.574505282066395
184;56;3;2.635583093219925;2.635583093219925;2.4545366442370398
185;148;5;2.660941504581091;2.660941504581091;3.0226153997839305
186;69;4;2.3890718795946673;2.3890718795946673;2.391597163504743
187;172;6;2.8008628241413955;2.8008628241413955;3.121386840402032
188;88;4;3.6541945530355155;3.6541945530355155;3.3792755883418355
189;65;5;4.081982013041481;4.081982013041481;3.250064353245569
190;161;6;4.33917571629095;4.33917571629095;4.0168020457565135
191;115;5;3.1074677825019332;3.1074677825019332;3.21457420046549
192;24;4;3.1236079210367564;3.1236079210367564;2.090264614173097
193;108;5;3.477497400942647;3.477497400942647;3.607036059759493
194;45;4;4.780702742378618;4.780702742378618;3.8737085088505485
195;176;6;3.5577953856682054;3.5577953856682054;3.7951213820948495
196;131;6;2.8411127616669223;2.8411127616669223;3.061225409521597
197;135;6;2.345203196634773;2.345203196634773;2.540695213644768
198;59;3;4.687729606678149;4.687729606678149;3.619880744169308
199;94;4;3.2729762600929444;3.2729762600929444;3.1077244388327094
200;142;6;3.184107915117043;3.184107915117043;3.351423983771095
201;44;5;2.852780104738708;2.852780104738708;2.7091162142772864
202;48;5;2.759175950262221;2.759175950262221;2.813218796870864
203;176;6;2.9939357908284814;2.9939357908284814;3.338029483727737
204;93;5;3.4459485453644754;3.4459485453644754;3.269559900966269
205;148;5;2.6439737681475277;2.6439737681475277;2.959595062253508
206;154;6;3.81698247225817;3.81698247225817;3.6238348356624446
207;162;6;3.3166972472022844;3.3166972472022844;3.3580285537146755
208;124;6;3.329065028844743;3.329065028844743;3.3731558630499325
209;13;3;6.064633651001923;6.064633651001923;2.298331366760094
210;148;5;2.8648912343690367;2.8648912343690367;3.054130907631869
211;167;6;3.6413527081681307;3.6413527081681307;3.656991724989578
212;122;5;4.152723933116708;4.152723933116708;4.146864415283831
213;93;5;4.088882450575074;4.088882450575074;3.7722026450594477
214;163;6;2.4170840873383015;2.4170840873383015;2.7549788101293835
215;115;5;3.5749779650593174;3.5749779650593174;3.6814501609571617
216;126;5;2.6262600245635874;2.6262600245635874;2.904425654910967
217;96;4;3.221616280941506;3.221616280941506;3.2320672495152207
218;104;6;4.150995609705053;4.150995609705053;3.64182438925153
219;90;5;5.531588705374108;5.531588705374108;4.6103139278895595
220;156;6;2.4721263464059073;2.4721263464059073;2.8095504171309265
221;93;5;4.073209084660534;4.073209084660534;3.7634796041965846
222;84;5;3.7154775529398925;3.7154775529398925;3.6907884283570778
223;96;5;4.504674792830826;4.504674792830826;4.292859010389869
224;60;4;6.032565794436476;6.032565794436476;3.4586088126569283
225;177;6;2.987491892776891;2.987491892776891;3.168382326855315
226;77;5;6.196097717742819;6.196097717742819;5.190814619359274
227;164;6;2.635971203719359;2.635971203719359;2.9176616770773043
228;106;6;5.104286793333139;5.104286793333139;4.034179191737439
229;132;4;5.123194835192629;5.123194835192629;4.777883482811894
230;108;5;3.481917850957277;3.481917850957277;3.585733486039349
231;167;6;3.1167428587701953;3.1167428587701953;3.2059194694286584
232;186;5;2.7336488348238204;2.7336488348238204;3.01575108462561
233;31;5;3.1037184244813996;3.1037184244813996;2.65720099700615
234;18;4;4.3181545242841555;4.3181545242841555;2.4003410650987247
235;108;6;3.4804387424892953;3.4804387424892953;3.488825157496284
236;79;4;2.6576701123744604;2.6576701123744604;2.6717497977392797
237;40;5;3.4986773469060983;3.4986773469060983;2.7908944561303626
238;139;6;2.3351264860459793;2.3351264860459793;2.696353175536178
239;39;4;3.2107076247819273;3.2107076247819273;2.9364928886580266
240;41;4;5.125151221179729;5.125151221179729;4.384802912567895
241;63;5;3.753146621220155;3.753146621220155;3.04877799414489
242;114;5;3.155817242063813;3.155817242063813;3.0773368823635
243;107;5;4.24139930684111;4.24139930684111;3.7880584218289233
244;62;5;4.057663384813851;4.057663384813851;3.335593064796676
245;115;4;2.73745834378118;2.73745834378118;2.967452678733129
246;175;6;3.115639210597927;3.115639210597927;3.300023653058555
247;55;6;2.8532631455746515;2.8532631455746515;2.8913866565209276
248;106;6;3.328419561455577;3.328419561455577;3.4382987845868294
249;141;6;3.488369855711681;3.488369855711681;3.432482837269288
