Skewness: 0.14918697788388047, Average LID: LPCA: 6.732580037664784  |||  MLE: 5.134946141924446  |||  MLENB: 5.134946141924446  |||  TLE: 4.786321213645451
LPCA: 0.20626805449772384  |||  MLE: -0.45950261295342765  |||  MLENB: -0.45950261295342765  |||  TLE: -0.2103102896727502
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;3;6;5.521681745935642;5.521681745935642;3.653158288984331
1;14;3;2.450567901197544;2.450567901197544;2.794042552448601
2;13;3;1.8304823207558554;1.8304823207558554;2.120321576985103
3;32;8;2.226707051006863;2.226707051006863;2.7115675009682896
4;9;7;11.980810949071337;11.980810949071337;9.142463925361493
5;2;5;7.9753866886384275;7.9753866886384275;5.00152806961119
6;31;9;5.364159549075279;5.364159549075279;5.581722973269619
7;24;5;4.237043347398138;4.237043347398138;4.388679881885178
8;17;5;5.071971832952049;5.071971832952049;4.458093425856384
9;5;9;6.542191638966208;6.542191638966208;5.515409044100935
10;29;7;3.9338841118103556;3.9338841118103556;4.182911473216845
11;15;6;3.8216548761559586;3.8216548761559586;3.175486419873473
12;32;9;3.0373733606907543;3.0373733606907543;3.6341620305396662
13;23;7;3.1221256413859417;3.1221256413859417;3.0015966269948797
14;29;8;3.8537967107393554;3.8537967107393554;4.511250022631227
15;24;8;6.207875392222911;6.207875392222911;6.138088312911111
16;22;6;3.930970228862635;3.930970228862635;4.2470998769754305
17;25;7;2.9255252380379595;2.9255252380379595;3.3292464357202567
18;36;6;5.522022784071637;5.522022784071637;5.3382981556484435
19;17;8;2.9896176085596657;2.9896176085596657;3.2876239929735944
20;13;4;4.620094951139907;4.620094951139907;4.428208118103327
21;17;8;3.9972584554591584;3.9972584554591584;3.9843846093757644
22;28;9;4.96376100576221;4.96376100576221;5.309074513605141
23;27;9;4.42988201049055;4.42988201049055;4.673436093540748
24;9;7;7.271864219092913;7.271864219092913;6.6217002137663625
25;34;7;2.6322750233619705;2.6322750233619705;3.002930348901503
26;29;5;3.3005163616826625;3.3005163616826625;3.839249992878971
27;27;9;4.057005029455771;4.057005029455771;4.399184629107086
28;10;5;5.453288347871025;5.453288347871025;5.636748513495677
29;28;11;4.345810186814432;4.345810186814432;5.044033255674931
30;15;6;6.476997510015428;6.476997510015428;6.224605563557651
31;24;5;4.541857200973862;4.541857200973862;4.31612046920436
32;10;5;8.004311916241736;8.004311916241736;7.112140456169623
33;14;6;8.010821275938431;8.010821275938431;7.6251268340530975
34;14;8;9.667939565123332;9.667939565123332;8.165246132264441
35;3;4;9.334956725092303;9.334956725092303;6.357485051452804
36;16;5;4.138061152482995;4.138061152482995;4.501905087294146
37;16;7;7.8737349418674905;7.8737349418674905;6.73890865963187
38;7;7;6.136027029638716;6.136027029638716;5.17928960450914
39;26;4;2.2950193514805313;2.2950193514805313;2.7318083642770286
40;10;5;7.2922562351388045;7.2922562351388045;5.5057881260727335
41;3;10;13.061408395836434;13.061408395836434;8.352498386804827
42;29;7;3.1486420167632967;3.1486420167632967;3.477613749888298
43;31;5;2.773699932598188;2.773699932598188;3.0618672105221223
44;7;10;8.641503186113301;8.641503186113301;6.97944342117432
45;31;6;4.378695435870403;4.378695435870403;4.441042900876074
46;2;3;9.306324627330302;9.306324627330302;5.727490668229749
47;28;6;2.70416809275245;2.70416809275245;2.8540345796377
48;18;7;3.6750913424177605;3.6750913424177605;3.7330919232961794
49;34;7;4.768416610260898;4.768416610260898;4.908179845566212
50;19;6;5.592395959322678;5.592395959322678;5.021529018872271
51;23;6;3.6742165297403395;3.6742165297403395;4.102764298730447
52;17;6;4.148469015214372;4.148469015214372;4.237469535600662
53;31;4;4.85705275785627;4.85705275785627;3.8981148840466586
54;30;5;3.796388725757267;3.796388725757267;3.882436669801067
55;28;4;2.002923539611335;2.002923539611335;2.3637923885448178
56;18;4;5.287325856599542;5.287325856599542;5.138601996151254
57;15;7;3.185108253312008;3.185108253312008;3.216288219683644
58;4;10;12.055706243071613;12.055706243071613;7.88711666048406
59;27;7;3.2711654474537566;3.2711654474537566;3.7018823012492295
60;9;6;5.024540225565581;5.024540225565581;4.800008769996968
61;30;7;4.37150935691445;4.37150935691445;4.620476094316996
62;23;6;4.891309820075372;4.891309820075372;4.826510238857372
63;24;6;8.612516458519941;8.612516458519941;7.0572181767915465
64;9;7;4.72019490529488;4.72019490529488;4.969659561412236
65;11;6;3.0731698640821303;3.0731698640821303;3.1025147129491226
66;14;3;2.8542333812587026;2.8542333812587026;3.0358554146527803
67;15;4;2.1273201586804205;2.1273201586804205;2.1135388641558293
68;21;7;2.6479255509838766;2.6479255509838766;3.13105274188747
69;19;5;4.580281353973474;4.580281353973474;4.724865122155582
