Skewness: 0.17122993007478282, Average LID: LPCA: 5.634651600753296  |||  MLE: 4.1071892001915185  |||  MLENB: 4.1071892001915185  |||  TLE: 3.8573849825598656
LPCA: 0.3092216254522092  |||  MLE: -0.28158097785381514  |||  MLENB: -0.28158097785381514  |||  TLE: 0.025615371537888926
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;16;5;4.1779519898034705;4.1779519898034705;3.2263089987156475
1;17;3;3.024510020448063;3.024510020448063;2.7307369004677726
2;14;3;2.876562248872517;2.876562248872517;2.695647359240981
3;41;3;0.9444769280929695;0.9444769280929695;1.2166261317881508
4;59;7;8.47073086226977;8.47073086226977;6.826426317114583
5;5;5;8.797562737847953;8.797562737847953;4.597419289897723
6;48;7;3.966785609619783;3.966785609619783;4.098686773680486
7;34;5;2.4527412676131846;2.4527412676131846;2.597962712507404
8;36;3;1.1966218296198732;1.1966218296198732;1.3787673759834698
9;17;7;6.9159951284169505;6.9159951284169505;5.616396279612699
10;59;8;3.812431745539917;3.812431745539917;4.059166946764717
11;35;3;1.1458920415643759;1.1458920415643759;1.290518836876489
12;56;6;2.5394025894578647;2.5394025894578647;2.9838655755697676
13;46;3;1.5652004495080218;1.5652004495080218;1.7582028460313195
14;50;7;3.680125796506033;3.680125796506033;4.184445833202169
15;60;8;3.947705754172897;3.947705754172897;3.935171801939364
16;50;6;3.36002427969352;3.36002427969352;3.6433642507623953
17;48;5;2.6853523156637107;2.6853523156637107;3.018596508329839
18;54;6;3.2476442923484155;3.2476442923484155;3.433326881756587
19;31;5;3.29840200539017;3.29840200539017;3.4360814398952875
20;57;3;3.863071848705156;3.863071848705156;3.291767349106105
21;33;6;2.8034226155970683;2.8034226155970683;2.817665533060085
22;42;6;3.996839765461612;3.996839765461612;4.289506021184588
23;49;7;3.061480335064875;3.061480335064875;3.2541573364861294
24;22;6;5.874294146526513;5.874294146526513;5.333604260973279
25;41;3;1.030541707301851;1.030541707301851;1.300771565077833
26;64;6;2.894794312219249;2.894794312219249;3.3181546484013804
27;49;6;3.7343359615934046;3.7343359615934046;3.9770581057419423
28;29;6;5.972761832996656;5.972761832996656;5.597519061344817
29;47;7;3.2279157171060135;3.2279157171060135;3.645873386412193
30;54;6;5.884496293170089;5.884496293170089;5.686947340668641
31;61;5;3.3352953232723075;3.3352953232723075;3.249370094274783
