Skewness: 1.5294288399188236, Average LID: LPCA: 72.81382978723404  |||  MLE: 53691.875990602864  |||  MLENB: 53691.875990602864  |||  TLE: 39817.879721796904
LPCA: -0.38535209315229746  |||  MLE: -0.04828944730952608  |||  MLENB: -0.04828944730952608  |||  TLE: -0.048289993205944244
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;132;69;19.82446868932867;19.82446868932867;18.95617978354211
1;56;71;11.378045715150806;11.378045715150806;10.387148165154093
2;177;73;12.85918324932036;12.85918324932036;11.728231533226595
3;59;75;26.073506469059286;26.073506469059286;22.29785729481699
4;96;70;21.302691076086276;21.302691076086276;19.67675098637989
5;80;67;16.79593721450033;16.79593721450033;15.904734774829178
6;57;73;21.86345480305514;21.86345480305514;19.972239632443515
7;50;78;15.033855641217713;15.033855641217713;13.197324596605645
8;111;79;35.69375888760376;35.69375888760376;30.051095236036108
9;95;71;23.546963060171407;23.546963060171407;20.644270148140034
10;66;73;29.119801643662072;29.119801643662072;25.06649754347269
11;38;79;22.21919508437986;22.21919508437986;18.84600499830534
12;56;55;21.987045922394007;21.987045922394007;19.271771598177796
13;4;79;165.03032166981765;165.03032166981765;146.528451879046
14;152;75;38.81674829634897;38.81674829634897;32.87619727099434
15;30;79;27.735543046040664;27.735543046040664;23.017202544516067
16;50;77;37.31265589764069;37.31265589764069;30.783771096310275
17;52;76;12.539564106480572;12.539564106480572;11.102996118754477
18;18;79;40.42552861016114;40.42552861016114;34.071272482939705
19;170;79;42.30835104938725;42.30835104938725;37.67926588526797
20;28;79;29.950930341381163;29.950930341381163;25.63930945084929
21;42;78;37.97324568131565;37.97324568131565;31.365842224499872
22;104;72;40.721510655292995;40.721510655292995;34.5005025892197
23;44;77;13.175868958532426;13.175868958532426;12.267738134709589
24;85;71;30.84711602247142;30.84711602247142;26.283245117685816
25;94;76;28.139806634144726;28.139806634144726;24.304390671699906
26;91;65;29.679533996844047;29.679533996844047;25.996440660957937
27;45;79;19.86378990145096;19.86378990145096;17.01493650243274
28;78;70;25.016550394473658;25.016550394473658;22.32947124347176
29;218;73;19.355307623629283;19.355307623629283;17.13126953229371
30;65;72;40.35533898897852;40.35533898897852;33.903045674450574
31;78;76;32.735104224497825;32.735104224497825;28.441259941958133
32;92;73;28.798539812247775;28.798539812247775;24.477208528633255
33;9;79;115.81118630691667;115.81118630691667;99.25949275257706
34;19;78;33.04808154700234;33.04808154700234;27.034907315195674
35;43;73;58.81213475043637;58.81213475043637;46.08803487891973
36;33;78;21.00311174321205;21.00311174321205;18.11917573984378
37;95;73;20.456069420251122;20.456069420251122;18.39679046725399
38;28;79;34.17527882844629;34.17527882844629;28.777826622977397
39;108;66;37.26556073988487;37.26556073988487;31.614380020882546
40;48;74;28.01370113852387;28.01370113852387;24.102129913049723
41;148;79;48.85821031234137;48.85821031234137;40.89103647416604
42;89;75;35.8999031131076;35.8999031131076;29.849495425916643
43;21;76;29.715415411548513;29.715415411548513;24.608859753165557
44;23;79;31.397365866693473;31.397365866693473;26.29912947915
45;82;76;31.179266586438185;31.179266586438185;25.653008840950054
46;105;74;34.923723489023054;34.923723489023054;29.86934862229922
47;20;79;42.18068123193995;42.18068123193995;35.25921818565426
48;14;79;41.979523984773024;41.979523984773024;35.99542282988815
49;77;79;32.258640309695785;32.258640309695785;28.051594232044486
50;62;72;19.214582593672404;19.214582593672404;16.869930230399227
51;71;71;33.91142528296415;33.91142528296415;28.649489587164748
52;141;62;25.29761147643399;25.29761147643399;21.341665899916464
53;80;72;42.25670054088622;42.25670054088622;35.49892052026625
54;37;79;15.295217339223392;15.295217339223392;14.172774374371663
55;46;77;17.907647547966008;17.907647547966008;15.218827510321736
56;13;79;26.135532746422516;26.135532746422516;30.8707234099047
57;9;79;34.04031032459528;34.04031032459528;39.48939687005344
58;16;78;32.67764058514565;32.67764058514565;33.53091421278314
59;45;77;26.208726871627043;26.208726871627043;23.600122744956774
60;33;79;23.7186225421169;23.7186225421169;19.88555171182463
61;16;79;32.91640845275184;32.91640845275184;26.547028093444727
62;62;75;23.387329565817925;23.387329565817925;20.62046820101345
63;133;75;27.32964027238056;27.32964027238056;23.41138055211398
64;149;79;55.33688189394831;55.33688189394831;45.90955628374496
65;33;76;21.006954670683513;21.006954670683513;19.764346582287875
66;42;77;55.66343286251758;55.66343286251758;45.49228233666878
67;156;79;116.55030641216344;116.55030641216344;178.70364403956276
68;41;76;61.269126835856504;61.269126835856504;49.3966666531328
69;40;66;35.735267731291145;35.735267731291145;29.967415174952237
70;10;79;49.24662940283252;49.24662940283252;40.307875623768
71;24;78;25.52096088015787;25.52096088015787;23.794890144474877
72;155;74;18.04357753719965;18.04357753719965;16.719474523555366
73;71;58;32.539768619460645;32.539768619460645;27.708576333412058
74;67;79;39.72692503853198;39.72692503853198;34.56045776579741
75;22;79;29.820405208537323;29.820405208537323;24.844616232367077
76;104;76;32.81989156776626;32.81989156776626;28.254135685611416
77;69;74;35.21268901176907;35.21268901176907;30.17194473807247
78;19;73;35.36988175049886;35.36988175049886;28.554603816727173
79;57;79;38.573271084190445;38.573271084190445;33.278967597774056
80;32;76;21.746574498316473;21.746574498316473;18.20554009818655
81;67;79;34.984517799053265;34.984517799053265;30.354603084214915
82;12;79;54.13667995004936;54.13667995004936;48.54769556166046
83;84;78;34.17427672309612;34.17427672309612;28.903777299624497
84;48;79;18.22782744684319;18.22782744684319;15.684138124389621
85;42;79;21.059624031670488;21.059624031670488;18.14125319439532
86;51;79;17.14836820646045;17.14836820646045;14.812878185690975
87;64;79;30.647270585753354;30.647270585753354;26.887215419048786
88;5;79;174.92824150038396;174.92824150038396;146.76469149123344
89;12;79;54.51712684274598;54.51712684274598;43.93638119772753
90;21;79;41.120009544348505;41.120009544348505;35.68972370156373
91;63;79;11.913688451088637;11.913688451088637;10.69209480237472
