Skewness: 0.13140571106860383, Average LID: LPCA: 5.360520094562648  |||  MLE: 3.1638629685308053  |||  MLENB: 3.1638629685308053  |||  TLE: 3.1216855753039634
LPCA: 0.5153433920841122  |||  MLE: 0.00473137467737704  |||  MLENB: 0.00473137467737704  |||  TLE: 0.42431039078449734
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;101;6;2.9391400857065673;2.9391400857065673;2.9262936235412425
1;169;7;4.468446558388504;4.468446558388504;4.650721219638796
2;106;5;2.5723786082449847;2.5723786082449847;2.7518281101503326
3;68;6;3.8082694514447075;3.8082694514447075;3.9014919619692847
4;7;5;14.635746336637268;14.635746336637268;4.435034838049679
5;21;2;2.4678672636509984;2.4678672636509984;1.6782344128514404
6;132;7;3.540928039831532;3.540928039831532;3.607113114609426
7;93;5;3.0150443231602613;3.0150443231602613;3.207587843871367
8;68;5;2.855037516922268;2.855037516922268;2.7725713944040935
9;87;2;1.9729802819127782;1.9729802819127782;2.1763974792424494
10;128;6;3.2690040505846056;3.2690040505846056;3.5168357310416543
11;74;5;2.926380753491809;2.926380753491809;2.8408859826860287
12;107;6;3.826062922287579;3.826062922287579;3.845311925614823
13;180;8;4.346657972351827;4.346657972351827;4.4887111785661835
14;86;3;2.753354711354948;2.753354711354948;2.781816207425944
15;68;4;3.371004964376677;3.371004964376677;3.081755238774278
16;54;5;1.9305363733643865;1.9305363733643865;2.136258599598547
17;91;3;2.177465325995461;2.177465325995461;2.316720042440587
18;155;6;2.5980929379988202;2.5980929379988202;2.836917433049861
19;113;5;2.9707349307651185;2.9707349307651185;3.099501416192799
20;143;7;4.411411373501805;4.411411373501805;4.4830188380084035
21;81;5;2.2268795315342276;2.2268795315342276;2.4500198144811725
22;83;6;4.574136315260278;4.574136315260278;4.407703337310274
23;120;6;4.102575821439552;4.102575821439552;4.169713851008103
24;93;5;2.8802240489654687;2.8802240489654687;2.9796632885021834
25;150;7;4.119791586844425;4.119791586844425;4.285457615486469
26;104;5;2.7662534771431515;2.7662534771431515;2.914069241688697
27;164;6;2.863861744930284;2.863861744930284;3.0611095893119074
28;85;3;2.489668811157005;2.489668811157005;2.507241901126749
29;95;6;4.008034715208169;4.008034715208169;3.4891940235392864
30;162;8;3.6208378031011272;3.6208378031011272;3.8885407952578417
31;110;5;3.632477315591563;3.632477315591563;3.7313468309843705
32;59;5;3.434653009301529;3.434653009301529;3.4228265499119277
33;93;5;3.4267388930542233;3.4267388930542233;3.287491152751595
34;80;4;2.6612204971388826;2.6612204971388826;2.8538389072825
35;98;8;3.0389096646581217;3.0389096646581217;3.1355053097387557
36;91;6;2.4809969883449665;2.4809969883449665;2.5704597388731223
37;6;4;10.642014762415545;10.642014762415545;3.6196867642586037
38;149;6;2.6833873885890247;2.6833873885890247;2.78811423271811
39;85;7;4.0147993120411485;4.0147993120411485;3.843252206232897
