Skewness: 0.10757550353712386, Average LID: LPCA: 5.83451536643026  |||  MLE: 3.354026226495911  |||  MLENB: 3.354026226495911  |||  TLE: 3.3240807989146157
LPCA: 0.5828485989445777  |||  MLE: -0.0017756486812627553  |||  MLENB: -0.0017756486812627553  |||  TLE: 0.3581245685147858
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;75;6;3.2393140867353316;3.2393140867353316;3.1998548190808944
1;104;7;4.912787778820034;4.912787778820034;5.209454146530152
2;91;5;2.8356352627904564;2.8356352627904564;3.035811495698059
3;58;6;3.5718053276151664;3.5718053276151664;3.690552742133587
4;7;4;13.385834768940285;13.385834768940285;4.348270363357088
5;21;2;2.213069711338474;2.213069711338474;1.8197611514552134
6;102;8;3.9907920672846844;3.9907920672846844;4.043906976054033
7;76;5;3.166743984712802;3.166743984712802;3.3901567055305954
8;59;5;3.2880084863079233;3.2880084863079233;3.1876642136015554
9;78;5;2.053326081481532;2.053326081481532;2.264384623408301
10;101;7;3.266751957787852;3.266751957787852;3.537848699036946
11;67;5;3.501130159766364;3.501130159766364;3.3610252186986744
12;81;7;4.10076195048327;4.10076195048327;4.11341022704393
13;123;8;4.833540674661653;4.833540674661653;5.023355851899833
14;69;3;3.0636947468171782;3.0636947468171782;3.16204819419323
15;52;5;3.504307910363547;3.504307910363547;3.193463470129587
16;45;5;1.9213216066143524;1.9213216066143524;2.1819307945955666
17;77;4;2.540421589896001;2.540421589896001;2.723960046421364
18;132;7;2.6747485884286326;2.6747485884286326;2.913044674373854
19;90;6;3.03602566562691;3.03602566562691;3.174956415541863
20;118;8;4.873179269717745;4.873179269717745;4.957891885127369
21;70;5;2.472632564988716;2.472632564988716;2.7510820755537684
22;60;6;4.622250694001776;4.622250694001776;4.491401281536548
23;95;6;4.457560102070908;4.457560102070908;4.5487131155486615
24;75;5;2.938487266164641;2.938487266164641;3.053775234106568
25;109;7;4.475238662399424;4.475238662399424;4.655565321742337
26;92;5;2.7889326613766725;2.7889326613766725;2.9145098670412217
27;133;7;3.4421014611705316;3.4421014611705316;3.631212550403149
28;77;5;2.6945138596955047;2.6945138596955047;2.670449422836379
29;71;6;4.26000333036246;4.26000333036246;3.5223070546563693
30;135;8;3.994600461331958;3.994600461331958;4.28737888370892
31;89;5;4.002841250132262;4.002841250132262;4.105705309068125
32;49;5;3.4113371467313747;3.4113371467313747;3.4136528471935668
33;70;5;3.432709599218928;3.432709599218928;3.290704818448616
34;63;5;2.45974611291638;2.45974611291638;2.6428861742131287
35;77;8;3.2955087652963186;3.2955087652963186;3.375050164487616
36;79;7;2.6626457216463084;2.6626457216463084;2.6329726569088923
37;6;4;9.745048622917547;9.745048622917547;3.7500396284025213
38;89;6;2.894630967973195;2.894630967973195;2.9664895694939486
39;65;7;4.494808017091269;4.494808017091269;4.258876807641452
40;85;5;2.9626419964955444;2.9626419964955444;3.149849521816522
41;43;5;2.00160633836624;2.00160633836624;2.205651366578747
42;64;7;2.342361934441342;2.342361934441342;2.6712881632998227
43;82;5;2.687069159411482;2.687069159411482;2.8916452838138818
44;55;6;3.971129192539078;3.971129192539078;3.5258634771893584
45;70;7;2.45368198262644;2.45368198262644;2.714645107814611
46;109;8;3.517638230525753;3.517638230525753;3.724336462749379
47;72;7;1.8312080924548728;1.8312080924548728;2.112284485712215
48;86;7;3.2081619036139752;3.2081619036139752;3.437169568317892
49;83;5;3.4924454104006184;3.4924454104006184;3.678820993399082
50;44;5;5.459084322720806;5.459084322720806;4.560325676907227
51;62;5;3.1020148629735016;3.1020148629735016;3.193288592140252
52;42;5;3.5595273388007027;3.5595273388007027;3.1476632075781517
53;62;7;5.299309156336737;5.299309156336737;4.889788069974122
54;21;2;2.2957715503550893;2.2957715503550893;1.8506193457066875
55;54;6;3.397068431789088;3.397068431789088;3.539432264121849
56;81;5;2.0055081003563893;2.0055081003563893;2.254213970350372
57;72;7;3.020244206743788;3.020244206743788;3.326949970687585
58;89;6;3.440357833733276;3.440357833733276;3.445504153045205
59;114;6;3.1063607252744734;3.1063607252744734;3.249274757728468
60;84;4;2.514127422233026;2.514127422233026;2.5981952290702055
61;123;7;4.115184977747889;4.115184977747889;4.232430202195818
62;78;7;3.089065099953103;3.089065099953103;3.248004661481337
63;109;7;4.208545988029123;4.208545988029123;4.420988433709458
64;81;5;2.4287049820085023;2.4287049820085023;2.6760096223373964
65;113;6;6.127219543265963;6.127219543265963;5.63047955108943
66;89;7;1.9280168877419304;1.9280168877419304;2.2599516146962304
67;71;6;2.14182356264843;2.14182356264843;2.1271159418748176
68;71;7;3.5640326710566765;3.5640326710566765;3.8693997705962953
69;76;4;2.784312026360063;2.784312026360063;2.732306696133386
70;43;6;3.0142560312539395;3.0142560312539395;2.9673331618531034
71;79;6;2.393816646740943;2.393816646740943;2.3469921633728563
72;83;4;2.2408242339502915;2.2408242339502915;2.5138508994829034
73;63;5;2.9600531324391146;2.9600531324391146;2.9706831120347426
74;85;8;5.379293738055753;5.379293738055753;5.376385496901075
75;78;4;2.4706326830193426;2.4706326830193426;2.5944235039361043
76;78;5;2.661181285261232;2.661181285261232;2.8016956786424076
77;97;6;4.315065896158553;4.315065896158553;3.8366538268559527
78;103;6;3.7708584767977937;3.7708584767977937;3.874406136197858
79;51;7;2.1057542757926617;2.1057542757926617;2.086815489895027
80;102;8;3.764328135899845;3.764328135899845;3.869044366710029
81;107;7;4.171009294086614;4.171009294086614;4.149197717902597
82;93;6;3.577489271942684;3.577489271942684;3.615215431554413
83;43;6;4.6437208524432645;4.6437208524432645;4.2656954761733
84;75;6;4.280824648676552;4.280824648676552;4.18522213461013
85;18;2;2.405440193172021;2.405440193172021;1.7923800173745035
86;110;7;5.314965824632495;5.314965824632495;5.628038039887347
87;59;5;2.1122174516348826;2.1122174516348826;2.3764381927470706
88;81;5;3.205535104254466;3.205535104254466;3.11788805758603
89;81;5;2.832978280249133;2.832978280249133;3.116578875515867
90;110;6;2.7970235774937824;2.7970235774937824;2.9530945500762886
