Skewness: 0.9389891734220058, Average LID: LPCA: 7.990909090909091  |||  MLE: 4.074853486436036  |||  MLENB: 4.074853486436036  |||  TLE: 4.427437573483153
LPCA: 0.15226353041670465  |||  MLE: 0.11300436838996225  |||  MLENB: 0.11300436838996225  |||  TLE: 0.21224146116644294
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;60;8;2.2441751673323593;2.2441751673323593;2.7113729375756277
1;65;7;2.8408046776236398;2.8408046776236398;3.214860261101094
2;52;7;3.853912892132243;3.853912892132243;4.6504568422589765
3;51;8;3.2024027342364914;3.2024027342364914;3.9994659266872907
4;40;8;3.6657054608288844;3.6657054608288844;4.0343152374648925
5;45;8;3.186681033217012;3.186681033217012;3.7384870553237657
6;45;8;4.112923483779782;4.112923483779782;4.474552742514311
7;45;7;3.7467103273893794;3.7467103273893794;4.663996977734462
8;54;9;4.361148146735602;4.361148146735602;4.445554324616724
9;44;8;4.091978321072365;4.091978321072365;4.946111550961399
10;68;8;3.191716469103335;3.191716469103335;3.591619895344078
11;57;7;2.1584764667157827;2.1584764667157827;2.657237045090932
12;64;8;2.759734339994883;2.759734339994883;3.1160315376331726
13;32;7;3.723210516856874;3.723210516856874;4.459187345936007
14;47;9;4.067384845546988;4.067384845546988;4.523669854932218
15;43;8;4.0178698296072906;4.0178698296072906;4.383807854401871
16;38;8;3.3954043336758004;3.3954043336758004;4.024736211024508
17;49;8;3.614972931914231;3.614972931914231;4.088749301613097
18;39;7;3.6670031914543317;3.6670031914543317;4.570137084639394
19;65;9;4.657464315407804;4.657464315407804;4.578851933770633
20;47;8;3.896242111544122;3.896242111544122;4.746071514676652
21;64;8;2.734477672631777;2.734477672631777;3.277692994583222
22;56;8;2.078683789829642;2.078683789829642;2.618270167108702
23;75;7;2.773970520078165;2.773970520078165;3.235095826781466
24;39;7;3.577124497003743;3.577124497003743;4.39244373254687
25;49;9;3.2402432229208133;3.2402432229208133;3.9801171105852706
26;53;8;3.8108812969892445;3.8108812969892445;4.089770741413873
27;45;8;3.3818434156487083;3.3818434156487083;3.8842958387767803
28;50;8;4.549424546371709;4.549424546371709;4.826777505146148
29;38;7;3.5914391820073277;3.5914391820073277;4.415082313866787
30;58;9;3.6704577920457755;3.6704577920457755;4.021353786062908
31;43;8;4.461898228610524;4.461898228610524;5.022354253451121
32;71;9;3.012291835784979;3.012291835784979;3.7585501729358826
33;60;8;2.1248879009969395;2.1248879009969395;2.686719390546783
34;70;7;3.12667601287409;3.12667601287409;3.632277638738411
35;46;7;3.376548357451852;3.376548357451852;3.9827523477889932
36;47;8;3.630327585458293;3.630327585458293;4.717120715812066
37;73;7;3.6068591076160095;3.6068591076160095;3.9078368265937558
38;55;8;4.702586874565988;4.702586874565988;5.2390877457488125
39;50;8;3.882852902188497;3.882852902188497;4.399144946296894
40;57;9;3.7942560388049458;3.7942560388049458;3.868530658345485
41;57;9;3.6516562967157538;3.6516562967157538;4.04898418523475
42;28;9;4.733491362385671;4.733491362385671;5.189899087585092
43;66;8;3.1767590043107865;3.1767590043107865;3.6697974120310617
44;62;7;2.2783508976881137;2.2783508976881137;2.8019015343304936
45;72;7;3.666197755875427;3.666197755875427;4.130820135872157
46;50;7;3.3662325559542254;3.3662325559542254;4.175707752950616
47;46;9;3.6534559978733725;3.6534559978733725;4.470664674974552
48;86;8;5.177022362744966;5.177022362744966;5.524108157467876
49;67;8;5.25780968060195;5.25780968060195;5.657796630454708
50;47;8;3.8547403250764414;3.8547403250764414;4.455371141100767
51;41;9;3.561306989565183;3.561306989565183;4.135082626802828
52;52;9;4.218714247030266;4.218714247030266;4.48975634810122
53;21;8;4.700024969318223;4.700024969318223;4.989242632493938
54;69;9;3.3179364702607166;3.3179364702607166;3.9082572688351025
55;56;7;2.393634965622498;2.393634965622498;2.8692841261895152
56;68;6;3.641072999329719;3.641072999329719;3.977311063260287
57;55;7;3.5844830079825445;3.5844830079825445;4.3703478341372035
58;63;9;3.682510540374612;3.682510540374612;4.313919284677577
59;80;8;5.658111245605655;5.658111245605655;5.624861671920578
60;52;9;4.438288876074825;4.438288876074825;4.769215805800625
61;53;8;4.380273591714246;4.380273591714246;4.735034152318371
62;41;9;3.8002790438498635;3.8002790438498635;4.3067483120939665
63;51;9;5.207557420901023;5.207557420901023;4.939317908394082
64;25;8;4.604834995738102;4.604834995738102;4.8876297471692975
65;68;9;2.9497799403269878;2.9497799403269878;3.5956355631835084
66;22;8;5.795139545956871;5.795139545956871;5.428836897652086
67;33;5;2.6327707224729378;2.6327707224729378;2.85742949254512
68;74;6;2.94413930771211;2.94413930771211;3.4509767287421096
69;59;8;4.53048706784311;4.53048706784311;4.770573161333707
70;102;8;3.874000529028269;3.874000529028269;3.939579419514963
71;38;8;3.9469537081690387;3.9469537081690387;3.8375380633026386
72;28;9;5.2693435183124615;5.2693435183124615;4.910721843204079
73;44;9;3.1032994724521483;3.1032994724521483;3.587390777400627
74;64;8;4.670714712836859;4.670714712836859;5.010386909221462
75;41;8;5.764791602693066;5.764791602693066;5.732133978374723
76;61;9;5.219421293323218;5.219421293323218;4.95767955250622
77;21;8;5.18480188293432;5.18480188293432;5.287275896343371
78;39;6;2.0510811344364015;2.0510811344364015;2.549831542185247
79;74;6;2.7681739350431496;2.7681739350431496;3.282185294944224
80;98;8;3.905543135363464;3.905543135363464;4.561657743950967
81;101;8;4.114236747403873;4.114236747403873;4.469226884043654
82;37;8;4.196075810512508;4.196075810512508;3.931909652526426
83;35;8;3.6555655727572436;3.6555655727572436;3.944778304755906
84;51;8;3.2819291405916666;3.2819291405916666;3.8815942288689045
85;67;9;4.180673114613004;4.180673114613004;4.474246505588904
86;41;9;3.7241522097757613;3.7241522097757613;4.326823741704421
87;45;8;6.455790655931486;6.455790655931486;5.932123212037875
88;19;8;5.043242076090278;5.043242076090278;5.163877189405461
89;52;6;1.999979994018948;1.999979994018948;2.4869265034303005
90;77;6;2.9766491337316685;2.9766491337316685;3.4963413393423877
91;89;8;3.7060229443432546;3.7060229443432546;4.4196992543696245
92;98;8;4.097174401724527;4.097174401724527;4.511207351074431
93;33;8;4.904647311054037;4.904647311054037;4.523047497133229
94;54;8;3.607601798079563;3.607601798079563;3.9884130727971088
95;52;8;4.087127676352099;4.087127676352099;4.477638305104678
96;67;9;4.4056553865713255;4.4056553865713255;4.825275716951016
97;41;9;3.756019122174079;3.756019122174079;4.314924381189037
98;32;9;5.162392090050981;5.162392090050981;4.936569591849163
99;20;9;4.640616927481263;4.640616927481263;4.781826998657675
100;55;7;2.109446414501329;2.109446414501329;2.5912005572151195
101;75;7;2.6740067519970028;2.6740067519970028;3.1564655720949495
102;68;8;3.4697475948423873;3.4697475948423873;4.272207698703893
103;96;9;4.529446158431057;4.529446158431057;4.834174321886116
104;48;9;3.995452048025499;3.995452048025499;3.936960285706015
105;61;8;3.736024579209154;3.736024579209154;4.3383479569549195
106;49;8;3.501803852669882;3.501803852669882;4.200719562692559
107;80;7;5.19764307703171;5.19764307703171;5.454295767447619
108;45;8;3.3670546649513375;3.3670546649513375;3.8924253989152793
109;37;9;5.758831382108638;5.758831382108638;5.807816694241942
110;23;9;4.870803542459295;4.870803542459295;4.730064007019479
111;69;6;2.464526181425969;2.464526181425969;2.773390291046934
112;68;6;2.480824130709635;2.480824130709635;2.9221542793353654
113;68;8;3.631366117371837;3.631366117371837;4.368193289718537
114;76;8;5.667775811053163;5.667775811053163;5.567197746573552
115;61;8;3.800027012155218;3.800027012155218;3.8356291259596564
116;49;8;3.970532633302455;3.970532633302455;4.413975963311008
117;35;9;2.8345220179783817;2.8345220179783817;3.3113289567981865
118;81;8;4.79176399341577;4.79176399341577;4.801373735533609
119;48;9;3.74069067141467;3.74069067141467;4.147368767777655
120;63;9;5.731575384046031;5.731575384046031;5.8297808747855235
121;26;9;4.802470597790157;4.802470597790157;4.609722178078653
122;74;5;4.038280897043526;4.038280897043526;3.9586534228266
123;46;7;2.8359310845942143;2.8359310845942143;3.0977526015169374
124;65;8;4.7367310372586955;4.7367310372586955;5.484337642161153
125;66;8;4.831065539366648;4.831065539366648;4.904839546611071
126;86;8;3.9310836607180786;3.9310836607180786;4.040431587822144
127;37;8;3.730980441907836;3.730980441907836;3.9618962751786353
128;37;9;2.9126611473289135;2.9126611473289135;3.2250219933987276
129;85;7;5.187057558974733;5.187057558974733;5.055790030897295
130;49;8;5.986684306358864;5.986684306358864;5.436819672548054
131;88;9;5.360370648762127;5.360370648762127;4.974481314458428
132;28;5;2.7056335915045584;2.7056335915045584;2.8429646946014158
133;44;6;2.7831608366883573;2.7831608366883573;3.2968780159771582
134;72;7;3.800220658444075;3.800220658444075;4.018535582828276
