Skewness: -1.2471780418665306, Average LID: LPCA: 1.9103690685413006  |||  MLE: 1.7003532688479177  |||  MLENB: 1.7003532688479177  |||  TLE: 1.685113761472905
LPCA: 0.4484108416327835  |||  MLE: -0.3164077584809035  |||  MLENB: -0.3164077584809035  |||  TLE: 0.24888402703355408
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;78;2;1.920473750693978;1.920473750693978;1.6364832820172917
1;79;2;1.2357340481668055;1.2357340481668055;1.3114092323112307
2;100;2;1.1549703837023577;1.1549703837023577;1.291838439951229
3;50;2;2.956434288008018;2.956434288008018;2.2524140997631417
4;105;2;1.4109170169171534;1.4109170169171534;1.5014564868566416
5;45;2;3.2467108332243444;3.2467108332243444;2.351277937801112
6;120;2;1.5325239832814876;1.5325239832814876;1.6508835982873606
7;91;2;2.4375385044535802;2.4375385044535802;2.175295892778745
8;87;2;2.344012649116315;2.344012649116315;2.1583789888118594
9;58;2;3.2419655839475485;3.2419655839475485;2.388924051223366
10;80;2;1.6201583926136807;1.6201583926136807;1.5861207359045137
11;90;2;1.6435357720466715;1.6435357720466715;1.7763972747486
12;133;2;1.6960601831582538;1.6960601831582538;1.6998279231474067
13;90;2;1.9943340233071045;1.9943340233071045;1.8081299318747504
14;120;2;1.422918733985116;1.422918733985116;1.6232133972669065
15;101;2;1.8446242578804664;1.8446242578804664;1.7587333473017057
16;80;2;2.2127721252926653;2.2127721252926653;2.010611185991626
17;101;2;1.7716118373528809;1.7716118373528809;1.9008884108598352
18;47;2;1.8345137306701351;1.8345137306701351;1.4024877570953744
19;123;2;1.397982809574375;1.397982809574375;1.633466197077833
20;107;2;1.4660237211687372;1.4660237211687372;1.6299956121305912
21;66;1;1.1604127329071643;1.1604127329071643;1.2295317174468114
22;91;2;1.7577463046259743;1.7577463046259743;1.7271240053854915
23;36;2;2.049799589117438;2.049799589117438;1.3779345562149283
24;52;2;2.4441692297766298;2.4441692297766298;1.666155515253974
25;134;2;1.710830054414822;1.710830054414822;1.668240164545699
26;108;2;1.8121747305468354;1.8121747305468354;1.765155531084137
27;131;2;1.508267636196445;1.508267636196445;1.5099457877723081
28;78;2;1.8430204698494435;1.8430204698494435;1.8420080167970871
29;104;2;1.462254391878147;1.462254391878147;1.6055595949118477
30;108;2;1.3714374400157152;1.3714374400157152;1.492989633348882
31;14;2;4.658060217282964;4.658060217282964;2.373124052511065
32;126;2;1.4709151742561166;1.4709151742561166;1.5232924886013728
33;94;2;1.2575997892777548;1.2575997892777548;1.3458681940102162
34;91;2;1.4740697640413272;1.4740697640413272;1.5892719329809577
35;97;2;1.3834999526013447;1.3834999526013447;1.4534370076093575
36;118;2;1.6049723186645217;1.6049723186645217;1.6821463654180993
37;76;2;2.632579583000534;2.632579583000534;2.2857535827842796
38;33;2;4.10898302441449;4.10898302441449;2.3162838050631374
39;121;2;1.7040611751914985;1.7040611751914985;1.8117789258947632
40;119;2;2.5088165280610846;2.5088165280610846;2.272858441402544
41;97;2;2.0719772547752116;2.0719772547752116;1.9465351094629673
42;109;2;1.3371990984589612;1.3371990984589612;1.4758479285358277
43;65;2;2.9959225764988284;2.9959225764988284;2.3792439283281364
44;99;2;2.1356533251725773;2.1356533251725773;2.0840007967959084
45;124;2;1.3420491704988073;1.3420491704988073;1.4584801050928402
46;36;1;1.4363301029329094;1.4363301029329094;1.2556992427419307
47;107;2;2.186212199162603;2.186212199162603;2.0466113395756564
48;111;2;2.163274511284302;2.163274511284302;2.1988995721959306
49;114;2;1.4059191797780668;1.4059191797780668;1.5972726377653148
50;123;2;1.7043106797734875;1.7043106797734875;1.8386448671278455
51;101;2;1.6830213342599063;1.6830213342599063;1.7378942031259643
52;123;2;1.5343319841342111;1.5343319841342111;1.657230846983186
53;138;2;1.5418401454411168;1.5418401454411168;1.6259607509697955
54;86;2;1.9363583416506587;1.9363583416506587;1.8413876485351728
55;115;2;1.6096480502193624;1.6096480502193624;1.7267433060867532
56;63;2;1.6119289346899668;1.6119289346899668;1.4484643674313753
57;86;2;2.0598414558107527;2.0598414558107527;1.900753123029919
58;105;2;1.5763993275079182;1.5763993275079182;1.7355643375158012
59;50;1;1.225610043700457;1.225610043700457;1.238450887885066
60;84;1;1.380173221942554;1.380173221942554;1.503242277040673
61;49;1;1.2431005654536758;1.2431005654536758;1.2279528551364183
62;93;2;2.06487369424627;2.06487369424627;1.9045308202833353
63;64;1;1.1337215844745154;1.1337215844745154;1.2098955051115434
64;39;2;3.6802227968097028;3.6802227968097028;2.4677091082337643
65;103;2;1.8597344076277225;1.8597344076277225;1.7925633027332095
66;67;1;1.1618891420879185;1.1618891420879185;1.232104857642175
67;117;2;1.3134285482941874;1.3134285482941874;1.4995009608946697
68;64;1;1.1612988364843315;1.1612988364843315;1.2217240735508832
69;103;2;1.9827502294322035;1.9827502294322035;2.0605257209558223
70;89;2;1.3444504221521794;1.3444504221521794;1.4016685088647787
71;55;1;1.1783002830335834;1.1783002830335834;1.2280149711398993
72;111;2;2.303064762056166;2.303064762056166;2.131313595084366
73;118;2;2.185863633757811;2.185863633757811;2.0845969284778367
74;103;2;1.979867493615708;1.979867493615708;1.9707632217874478
75;88;2;1.4464251919356352;1.4464251919356352;1.539701015613696
76;89;2;2.2941636502411638;2.2941636502411638;2.087657379105516
77;120;2;1.6638581913835644;1.6638581913835644;1.7205992378281345
78;106;2;1.2510257368521902;1.2510257368521902;1.4033166411061377
79;109;2;1.4907746417684342;1.4907746417684342;1.6831646545168166
80;117;2;1.9063376401374914;1.9063376401374914;2.024479801257274
81;106;2;1.492122998114756;1.492122998114756;1.6827036399725812
82;27;2;2.142773358136889;2.142773358136889;1.3520353383099326
83;132;2;1.768859762274025;1.768859762274025;1.7737403782233327
84;113;2;1.82113464927125;1.82113464927125;1.9568010790277217
85;117;2;1.3061042145067863;1.3061042145067863;1.4708981711750682
86;114;2;1.5042432815242968;1.5042432815242968;1.7074331328822487
87;112;2;1.3722857153914758;1.3722857153914758;1.519413970402878
88;116;2;1.8470155956170566;1.8470155956170566;1.847852979849184
89;115;2;1.524369003553111;1.524369003553111;1.7280781637654987
90;112;2;1.4925676543161592;1.4925676543161592;1.7325104065453205
91;99;2;1.806511767173036;1.806511767173036;1.7875968095539112
92;94;2;2.7747545286555524;2.7747545286555524;2.4308251733137816
93;112;2;1.4178926033940813;1.4178926033940813;1.5958548773888421
94;89;2;1.8825450964516568;1.8825450964516568;1.7981054200719946
95;96;2;1.13573410759793;1.13573410759793;1.30947098051454
96;120;2;2.196790202953071;2.196790202953071;2.0808994515311077
97;80;1;1.1690331778589147;1.1690331778589147;1.3313228843459262
98;120;2;1.7714730450613845;1.7714730450613845;1.8939933340741038
99;113;2;1.4727452892833734;1.4727452892833734;1.6447879377653805
100;95;2;2.3996329841698514;2.3996329841698514;2.1290508326679087
101;25;1;2.114401918914316;2.114401918914316;1.251562088010739
102;121;2;1.6114620216494449;1.6114620216494449;1.8072664106621608
103;80;1;1.1871132107791615;1.1871132107791615;1.3293763955897429
104;106;2;1.4545335103546753;1.4545335103546753;1.4481566937983457
105;73;2;2.987983393967202;2.987983393967202;2.413750425344579
106;121;2;1.7152087518314505;1.7152087518314505;1.9041889453853051
107;117;2;1.6869139837497924;1.6869139837497924;1.9117202161912157
108;46;2;1.7643236880278663;1.7643236880278663;1.364500815417049
109;109;2;1.73402781117255;1.73402781117255;1.8285041011919052
110;78;1;1.1875449962754283;1.1875449962754283;1.3522128472918726
111;100;2;1.9821003335201923;1.9821003335201923;2.054266907427443
112;111;2;1.9511555518701662;1.9511555518701662;1.9342563798312185
113;92;2;1.3665644932096954;1.3665644932096954;1.4611221149129983
114;55;1;1.1891069063131714;1.1891069063131714;1.2231187455709687
115;108;2;2.3655068146104044;2.3655068146104044;2.342191714708038
116;53;1;1.2304464125206387;1.2304464125206387;1.24177557967014
117;80;2;2.2700517173949284;2.2700517173949284;2.0224769268229807
118;87;2;1.5318566776834073;1.5318566776834073;1.6728999985519435
119;116;2;1.420306217946683;1.420306217946683;1.5732154847024382
120;111;2;1.7833111658089074;1.7833111658089074;1.8702015338063027
121;124;2;1.330785222462794;1.330785222462794;1.4090626577300458
122;46;2;2.192663220661531;2.192663220661531;1.5113715894549924
123;123;2;1.8629262706871095;1.8629262706871095;1.8423965104678524
124;106;2;1.8015529166595268;1.8015529166595268;1.7869855487235555
125;122;2;1.4956205496750494;1.4956205496750494;1.693603865991503
126;105;2;2.3406654060310284;2.3406654060310284;2.1550771506768096
127;120;2;1.3548487829543168;1.3548487829543168;1.4099647470510996
128;106;2;1.8161525311476487;1.8161525311476487;1.8980584040936501
129;111;2;1.2993049803834222;1.2993049803834222;1.413361513366451
130;120;2;1.5862622830141015;1.5862622830141015;1.7715246289415354
131;80;2;1.808421638589165;1.808421638589165;1.7336303707042053
132;81;2;1.5304884207885203;1.5304884207885203;1.5349953046137976
133;91;2;1.7772698725217249;1.7772698725217249;1.706608958004264
134;120;2;1.324339927481121;1.324339927481121;1.4730358824709349
135;107;2;1.8842099530976242;1.8842099530976242;1.8794826698868738
136;114;2;1.6662574603985771;1.6662574603985771;1.8666338472840038
137;117;2;1.3053604145630484;1.3053604145630484;1.5116529858071996
138;85;2;2.2322703686445005;2.2322703686445005;1.9900097973683961
139;130;2;1.5743455517240974;1.5743455517240974;1.676052850219186
140;76;1;1.180398617654822;1.180398617654822;1.2684713413681463
141;88;2;1.4355074535799515;1.4355074535799515;1.5423026295198137
142;111;2;1.575745323605008;1.575745323605008;1.6619839300049357
143;109;2;1.5852920755304012;1.5852920755304012;1.687907758709356
144;127;2;1.6749603986461865;1.6749603986461865;1.6262744679675396
145;122;2;1.708530219281203;1.708530219281203;1.7717072672919987
146;96;2;2.651145925344536;2.651145925344536;2.4348805758768473
147;104;2;1.5466773558918963;1.5466773558918963;1.7580928898968688
148;124;2;1.7648489452663194;1.7648489452663194;1.7476579815449764
149;121;2;1.4997263055580978;1.4997263055580978;1.71645002963941
150;105;2;1.5779344790666077;1.5779344790666077;1.7680846828231678
151;37;1;1.3907526743538758;1.3907526743538758;1.2510601260798615
152;81;1;1.5840137442690678;1.5840137442690678;1.651148655120254
153;134;2;1.4136098188462944;1.4136098188462944;1.5344137349784739
154;106;2;1.7110759077455922;1.7110759077455922;1.7146941660980353
155;119;2;1.6411650667054916;1.6411650667054916;1.740502824154078
156;123;2;1.3935987532052647;1.3935987532052647;1.5311030869745261
157;87;2;2.258882969033922;2.258882969033922;2.0118401476187593
158;125;2;1.5290627435670174;1.5290627435670174;1.6580526736508077
159;140;2;1.562886770834669;1.562886770834669;1.6422067569356797
160;114;2;1.7372365841436062;1.7372365841436062;1.8842053690388347
