Skewness: -0.6851589921712935, Average LID: LPCA: 2.8101933216168717  |||  MLE: 2.2723304788045  |||  MLENB: 2.2723304788045  |||  TLE: 2.244152225502984
LPCA: 0.34907777125470524  |||  MLE: -0.5210822065142282  |||  MLENB: -0.5210822065142282  |||  TLE: -0.16575206187071712
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;32;2;3.7806975450538;3.7806975450538;2.695291628031116
1;49;2;1.550997832812366;1.550997832812366;1.7015138944769876
2;64;2;1.7514034041962347;1.7514034041962347;1.7840656112745321
3;6;3;5.237733835626177;5.237733835626177;3.159167790957385
4;39;2;2.2063348627164174;2.2063348627164174;2.119095529223138
5;11;2;3.6833672085908016;3.6833672085908016;2.7936059741081434
6;43;2;1.7053046032564971;1.7053046032564971;2.00008201419696
7;22;2;2.9478457131245674;2.9478457131245674;2.659401190962126
8;22;2;2.800285547806518;2.800285547806518;2.4292961195723355
9;9;2;4.363502865357473;4.363502865357473;3.3941727719728263
10;41;2;1.9180523068327215;1.9180523068327215;1.950718102225683
11;34;2;1.850160783733008;1.850160783733008;2.120619720831637
12;28;2;2.4264209566088777;2.4264209566088777;2.2930649634421196
13;27;2;2.655366958436406;2.655366958436406;2.3962164412026143
14;51;3;2.0565594154232554;2.0565594154232554;2.217810341245869
15;42;3;2.4055712866674495;2.4055712866674495;2.406750476054212
16;29;2;2.4347916573691757;2.4347916573691757;2.2572598699132165
17;37;2;1.9819068637076933;1.9819068637076933;2.1227020642608747
18;25;2;2.3596968034483647;2.3596968034483647;1.9638443816463436
19;57;3;1.7956918101236274;1.7956918101236274;2.034872484032894
20;47;4;1.8149122251894039;1.8149122251894039;2.0360614882971766
21;40;2;1.7380593932191934;1.7380593932191934;1.7921157426956276
22;41;2;1.9247699200389967;1.9247699200389967;2.1624645595788796
23;19;2;2.404998076009759;2.404998076009759;1.7991352934846778
24;19;2;4.053872145415332;4.053872145415332;2.385170229483212
25;34;2;2.8736490178321543;2.8736490178321543;2.579036971244284
26;45;2;3.145886277928828;3.145886277928828;2.7849425251203557
27;44;2;2.41812137605022;2.41812137605022;2.2508759663857405
28;24;2;2.099500815662647;2.099500815662647;2.1805919810213323
29;47;2;1.565984184114164;1.565984184114164;1.8657685989230433
30;56;2;1.7679181762211695;1.7679181762211695;1.9039014358069728
31;4;2;4.110307394695225;4.110307394695225;2.414622954536341
32;47;3;2.180339218160675;2.180339218160675;2.0888489300521424
33;57;2;2.4070983631908582;2.4070983631908582;2.220759720299463
34;42;2;1.812936969423396;1.812936969423396;2.0061938956794236
35;44;2;1.7506767727868993;1.7506767727868993;1.8066411360787211
36;60;3;2.6487414852254645;2.6487414852254645;2.6151814645372995
37;14;3;3.6466856713435276;3.6466856713435276;2.735475085542476
38;0;2;7.051482289489245;7.051482289489245;3.0707353489624647
39;45;3;2.3994863111952793;2.3994863111952793;2.328705201291257
40;32;2;2.6882389190838447;2.6882389190838447;2.368863842913274
41;14;3;2.8111721374581977;2.8111721374581977;2.5210482116147075
42;53;2;1.6630960065424494;1.6630960065424494;1.8512541283585962
43;15;2;2.836937774158364;2.836937774158364;2.3804082732982215
44;25;2;2.610220116228403;2.610220116228403;2.4033293023299027
45;47;2;1.5861359859024693;1.5861359859024693;1.9023885517117163
46;19;2;1.417097017456152;1.417097017456152;1.365828990231585
47;26;2;3.2501950033859273;3.2501950033859273;2.8307132316271213
48;30;3;2.5484937125171236;2.5484937125171236;2.6683985502641385
49;54;4;2.0026774138112855;2.0026774138112855;2.248864304156105
50;52;4;2.4197380040806444;2.4197380040806444;2.631842730621623
51;36;3;2.1280296869776283;2.1280296869776283;2.2346452111533703
52;60;4;2.572589704721419;2.572589704721419;2.7843434294674188
53;36;2;1.6705080142734696;1.6705080142734696;1.7248150688325985
54;43;2;1.934938442552396;1.934938442552396;2.065813070504104
55;48;3;1.982937958495768;1.982937958495768;2.1956272060140845
56;37;2;2.080264181389346;2.080264181389346;1.8121555870745945
57;40;2;1.9405712987626416;1.9405712987626416;1.9723911581605282
58;47;4;2.195313911887247;2.195313911887247;2.3325064244138423
59;25;1;1.2137629736048177;1.2137629736048177;1.3632533267187912
60;48;3;1.7817951896037139;1.7817951896037139;1.8600619982333464
61;25;1;1.2964505925397907;1.2964505925397907;1.362669109054299
62;36;2;2.4499975498497273;2.4499975498497273;2.4031113948487164
63;35;2;1.4831341087911991;1.4831341087911991;1.5904760912708233
64;10;2;3.2199720970624037;3.2199720970624037;2.518416803945936
65;44;2;2.2916574826283047;2.2916574826283047;2.2607651540752087
66;47;2;1.8303851498785038;1.8303851498785038;1.8568279154014224
67;51;4;2.106511294890205;2.106511294890205;2.423572269732928
68;36;2;1.632477369164446;1.632477369164446;1.6814725133382746
69;31;4;2.638075502050266;2.638075502050266;2.6071681991769236
70;51;2;2.4676633173847957;2.4676633173847957;2.342681254906957
71;28;2;1.2642732080953625;1.2642732080953625;1.4084990146507084
72;21;2;2.376276502682713;2.376276502682713;2.134709325855662
73;29;2;2.4764727914515032;2.4764727914515032;2.47988964290352
74;31;2;2.6936680060772518;2.6936680060772518;2.726791067497291
75;43;2;1.6976203324182222;1.6976203324182222;1.9078928911883157
76;13;3;4.631631028587154;4.631631028587154;3.2413599165213043
77;30;2;1.929044742717877;1.929044742717877;2.0424258598988643
78;48;2;1.8634221208838715;1.8634221208838715;1.9927025382120396
79;54;4;2.080339251212889;2.080339251212889;2.2780266609271442
80;37;4;2.147266869425197;2.147266869425197;2.3121760619496037
81;50;4;2.267428846468128;2.267428846468128;2.366793311002063
82;18;2;2.3790045806894793;2.3790045806894793;1.857525993105318
83;26;2;2.1559981404946686;2.1559981404946686;2.0731281826147447
84;39;4;2.2760547682619494;2.2760547682619494;2.4259230158199383
