-0.048047143019992425
node;in_degree;local_intrinsic_dimensionality
0;5;2
1;2;2
2;3;2
3;5;2
4;3;2
5;3;2
6;3;2
7;5;2
8;2;2
9;4;1
10;1;2
11;0;2
12;4;2
13;1;1
14;0;2
15;3;2
16;0;2
17;2;2
18;1;2
19;2;2
20;3;2
21;2;2
22;2;2
23;6;2
24;5;2
25;3;2
26;4;2
27;1;2
28;1;1
29;4;2
30;4;1
31;5;2
32;7;1
33;1;2
34;1;1
35;3;1
36;5;2
37;1;2
38;3;2
39;3;2
40;4;2
41;6;2
42;3;1
43;2;2
44;1;2
45;3;2
46;2;2
47;2;2
48;2;1
49;6;2
50;2;1
51;4;1
52;2;1
53;5;2
54;3;1
55;1;2
56;5;1
57;4;2
58;2;2
59;1;2
60;1;2
61;3;2
62;6;1
63;3;2
64;3;2
65;0;2
66;0;2
67;2;1
68;4;1
69;5;1
70;2;2
71;1;1
72;4;2
73;1;1
74;3;1
75;5;1
76;3;2
77;4;2
78;2;1
79;2;1
80;4;2
81;2;1
82;0;1
83;3;2
84;3;1
85;5;2
86;5;1
87;4;2
88;5;1
89;3;2
90;5;1
91;3;2
92;2;2
93;2;2
94;4;1
95;2;1
96;3;1
97;0;2
98;1;2
99;3;1
100;1;2
101;4;2
102;1;2
103;4;1
104;1;2
105;0;1
106;4;2
107;3;2
108;5;2
109;5;2
110;2;1
111;2;2
112;4;2
113;6;2
114;5;2
115;1;2
116;2;2
117;9;2
118;4;2
119;2;2
120;2;1
121;4;2
122;2;2
123;2;2
124;3;2
125;2;1
126;0;2
127;5;2
128;3;2
129;2;2
130;0;2
131;5;2
132;2;2
133;3;2
134;0;1
135;5;1
136;2;2
137;4;1
138;5;1
139;1;2
140;4;2
141;1;1
142;3;2
143;3;1
144;3;2
145;4;2
146;0;1
147;2;2
148;5;1
149;2;2
150;1;1
151;4;1
152;2;2
153;5;1
154;3;1
155;6;1
156;6;1
157;2;2
158;1;1
159;1;1
160;2;2
161;3;2
162;3;1
163;4;1
164;4;1
165;2;1
166;2;2
167;3;2
168;0;1
169;1;2
170;3;2
171;6;2
172;0;2
173;5;2
174;3;1
175;2;2
176;2;2
177;4;2
178;7;1
179;4;2
180;3;2
181;2;2
182;1;1
183;9;2
184;4;2
185;5;1
186;3;2
187;2;2
188;4;2
189;5;1
190;3;2
191;1;1
192;8;2
193;3;2
194;5;2
195;4;2
196;5;1
197;2;1
198;2;2
199;3;1
200;4;1
201;2;2
202;2;1
203;2;1
204;7;2
205;1;1
206;4;2
207;0;1
208;5;2
209;1;2
210;3;2
211;6;2
212;4;2
213;5;2
214;3;2
215;4;1
216;6;2
217;3;1
218;0;1
219;5;2
220;5;2
221;6;1
222;6;2
223;3;1
224;2;1
225;9;1
226;5;2
227;4;2
228;5;2
229;3;1
230;2;1
231;2;2
232;0;1
233;3;1
234;3;1
235;6;1
236;5;1
237;3;1
238;2;2
239;3;2
240;1;1
241;6;2
242;3;1
243;0;2
244;7;2
245;1;1
246;2;2
247;2;2
248;5;2
249;1;2
250;4;1
251;2;1
252;3;2
253;2;2
254;4;1
255;2;2
256;5;1
257;5;1
258;2;2
259;0;2
260;5;1
261;6;1
262;4;2
263;4;2
264;6;1
265;8;1
266;5;2
267;3;2
268;5;1
269;4;2
270;2;2
271;2;2
272;3;2
273;5;2
274;3;2
275;2;2
276;5;2
277;3;2
278;6;2
279;1;2
