Skewness: 0.0, Average LID: LPCA: 4.101674152715394  |||  MLE: 2.228602244448101  |||  MLENB: 2.228602244448101  |||  TLE: 3.401100389429615
LPCA: 0.272295032922954  |||  MLE: -0.09084588424836561  |||  MLENB: -0.09084588424836561  |||  TLE: -0.06109727854640327
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;22;3;0.0;0.0;3.0407600218444233
1;58;4;0.0;0.0;3.611739017317911
2;24;5;0.0;0.0;4.8715148157190535
3;44;3;0.0;0.0;2.5264024145725603
4;42;3;0.0;0.0;2.5264024145725603
5;24;5;0.0;0.0;4.8715148157190535
6;45;4;4.109876350092388;4.109876350092388;4.194190976533568
7;22;3;0.0;0.0;3.0407600218444233
8;57;4;0.0;0.0;3.611739017317911
9;46;5;2.505139718897516;2.505139718897516;2.9918278924537494
10;57;5;2.2369002093644776;2.2369002093644776;2.3527533838037686
11;31;5;3.5225754309059356;3.5225754309059356;3.4901989881664353
12;55;5;2.9747100850648014;2.9747100850648014;3.1492830443675612
13;44;5;3.3226984052777526;3.3226984052777526;3.3476757519449554
14;31;3;3.583759590650665;3.583759590650665;3.5271695510755756
15;52;5;4.467916988616998;4.467916988616998;4.194811001639051
16;36;5;3.7632125625774155;3.7632125625774155;3.6736214643174483
17;28;5;0.0;0.0;3.6238471840413102
18;42;3;2.9926265284266265;2.9926265284266265;2.9175792259036566
19;40;4;4.35348940216569;4.35348940216569;4.206224200534293
20;27;5;0.0;0.0;3.6238471840413102
21;60;5;3.1450941678136477;3.1450941678136477;3.4649739061700107
22;56;5;2.8761373063067515;2.8761373063067515;3.082540302375174
23;32;4;2.6755005416827395;2.6755005416827395;3.016894274111537
24;42;3;2.511941700190352;2.511941700190352;2.731405215152389
25;52;3;1.831312095987095;1.831312095987095;2.095793323368705
26;34;5;3.3988213508595377;3.3988213508595377;3.4420532108615807
27;53;5;3.003931201806592;3.003931201806592;3.037513935586075
28;44;5;2.7567859495032234;2.7567859495032234;2.9905005435486793
29;53;5;3.643993613745292;3.643993613745292;3.8070442609191186
30;31;3;3.422379754132397;3.422379754132397;3.545099500107066
31;57;3;1.6715119205240039;1.6715119205240039;2.011735478457521
32;51;5;2.2722698952252545;2.2722698952252545;2.5991453702032477
33;43;5;2.93008221086128;2.93008221086128;2.9217994523585387
34;30;3;3.473300193589791;3.473300193589791;3.425745138717557
35;41;5;4.392666749786991;4.392666749786991;4.302728625068584
36;53;5;3.3168904050574337;3.3168904050574337;3.580891164384259
37;48;5;3.395418471293921;3.395418471293921;3.2781201402906683
38;19;3;0.0;0.0;4.688176582086052
39;17;3;0.0;0.0;4.688176582086052
40;35;3;2.69880803878656;2.69880803878656;3.1583608215153314
41;31;3;3.080559760520815;3.080559760520815;3.567794840073962
42;49;4;0.0;0.0;3.2710165733360204
43;33;5;4.532092010714057;4.532092010714057;4.324466637430632
44;33;5;4.134095025262041;4.134095025262041;4.389016924433855
45;31;5;2.639651693515522;2.639651693515522;2.984748538697498
46;25;3;2.755584137482978;2.755584137482978;2.9482497326834465
47;27;3;2.6541718674986665;2.6541718674986665;2.946978721059044
48;49;4;0.0;0.0;3.2710165733360204
49;52;5;3.2888683640073357;3.2888683640073357;3.4848562228274855
50;38;4;2.892215830733044;2.892215830733044;3.186736692604576
51;50;5;2.8494495059811635;2.8494495059811635;3.051568355449464
52;41;5;3.689082055357276;3.689082055357276;3.796846144652682
53;46;4;2.5911032530257323;2.5911032530257323;2.746059037711136
54;25;5;4.23877394149575;4.23877394149575;3.9360365500215453
55;35;3;3.741023943021508;3.741023943021508;3.5741830333767544
56;53;3;3.2766002342118323;3.2766002342118323;3.587992199813641
57;35;4;0.0;0.0;3.073109410927421
58;44;5;0.0;0.0;3.32266563421398
59;30;4;3.2976009065058878;3.2976009065058878;3.1413331699949802
60;27;5;3.26254795707738;3.26254795707738;3.7603564707446098
61;35;4;0.0;0.0;3.073109410927421
62;30;4;2.212034241380989;2.212034241380989;2.8209367909628518
63;43;5;0.0;0.0;3.32266563421398
64;41;5;4.386611190751504;4.386611190751504;4.432745742526548
65;33;5;3.91657279731364;3.91657279731364;3.760957780996015
66;29;4;4.466594123946856;4.466594123946856;4.45584643044344
67;32;3;4.001260673164562;4.001260673164562;3.222940934871913
68;56;5;0.0;0.0;3.240077291361088
69;31;4;0.0;0.0;4.067578742661178
70;55;3;2.366155488833397;2.366155488833397;2.5192006898455115
71;46;3;3.4928410728566384;3.4928410728566384;3.401631955785136
72;47;3;3.3540022102898166;3.3540022102898166;3.6090514352041163
73;31;5;2.8348564776049625;2.8348564776049625;2.9435203854059893
74;58;5;0.0;0.0;3.240077291361088
75;31;4;0.0;0.0;4.067578742661178
76;50;4;3.4017913966151734;3.4017913966151734;3.385441016720044
77;42;5;2.5389923831059553;2.5389923831059553;2.989736377805869
78;31;4;4.679804787332097;4.679804787332097;4.537806255029307
79;38;5;3.9489232798110505;3.9489232798110505;4.684956019255235
80;46;5;3.6534368592678748;3.6534368592678748;3.887935482860091
81;37;4;4.913684633408556;4.913684633408556;4.649857354118644
82;54;4;3.75186384659088;3.75186384659088;3.722877378536436
83;43;3;3.637440979018864;3.637440979018864;3.317979159046604
84;48;4;0.0;0.0;2.7532038788888316
85;47;5;0.0;0.0;3.2959754887375112
86;52;4;0.0;0.0;3.084565237232658
87;44;3;2.9101343699163986;2.9101343699163986;2.741419268289057
88;46;4;0.0;0.0;2.7532038788888316
89;46;5;0.0;0.0;3.2959754887375112
90;51;4;0.0;0.0;3.084565237232658
91;42;3;2.4863256624206866;2.4863256624206866;2.732507813437494
92;39;4;4.024611280274039;4.024611280274039;4.318721078979528
93;35;4;3.8206166470114526;3.8206166470114526;4.056565220765067
94;34;5;2.9375683228255065;2.9375683228255065;3.2331406802157208
95;51;3;2.6862477089435615;2.6862477089435615;2.606081650310529
96;26;3;0.0;0.0;4.044890815553807
97;30;4;3.947186652453916;3.947186652453916;3.8872647363791173
98;10;4;4.541653064672402;4.541653064672402;3.9960230192597415
99;28;3;0.0;0.0;4.044890815553807
100;51;3;0.0;0.0;3.0255942971442757
101;55;3;0.0;0.0;3.020775706556743
102;49;3;3.181867143308498;3.181867143308498;3.1936209034731617
103;32;3;2.8814255356097274;2.8814255356097274;3.254809357784287
104;50;3;0.0;0.0;3.0255942971442757
105;23;4;4.752556506996047;4.752556506996047;4.097352976899232
106;54;3;0.0;0.0;3.020775706556743
107;26;3;0.0;0.0;2.6852673889329166
108;24;3;0.0;0.0;2.6852673889329166
109;31;4;2.9894103530296037;2.9894103530296037;3.0412823318352222
110;53;3;3.206906721898132;3.206906721898132;3.655210222545183
111;27;3;3.177271167549707;3.177271167549707;2.774922359956886
112;35;3;0.0;0.0;3.061501402456858
113;44;3;0.0;0.0;3.8849591986525938
114;42;3;0.0;0.0;3.8849591986525938
115;33;4;3.635122029108576;3.635122029108576;3.3631786040322984
116;46;5;3.738276477575344;3.738276477575344;3.6181492545741376
117;55;5;2.8111952828562776;2.8111952828562776;3.097048287918999
118;35;3;0.0;0.0;3.061501402456858
119;38;3;2.9144515008507046;2.9144515008507046;3.1456612201812315
120;42;5;4.100470545379551;4.100470545379551;4.060309125374079
121;37;4;3.419057745697998;3.419057745697998;3.551306696922192
122;38;5;3.1114086242170638;3.1114086242170638;3.293893653696594
123;33;3;3.6422836721019145;3.6422836721019145;3.244686097870123
124;33;5;3.276115392086821;3.276115392086821;3.430703709305705
125;45;3;2.236791864985449;2.236791864985449;2.3385484022163436
126;31;5;4.486440547309358;4.486440547309358;4.223337567771686
127;54;3;0.0;0.0;3.0739957206876944
128;30;4;3.360950692965662;3.360950692965662;3.285940740870476
129;39;4;5.103395543244061;5.103395543244061;4.754660476209072
130;19;4;5.709082979390714;5.709082979390714;3.692215014800643
131;54;3;0.0;0.0;3.0739957206876944
132;46;3;2.611971460113847;2.611971460113847;2.6847897826099962
133;34;3;3.1687737581260085;3.1687737581260085;2.8752717826530114
134;53;3;2.2419876404356325;2.2419876404356325;2.5012879790386577
135;29;3;2.9732623613826394;2.9732623613826394;3.211697565274136
136;32;5;3.952122428077811;3.952122428077811;3.7985609499679653
137;59;4;0.0;0.0;4.016261937386733
138;57;5;2.368835585926275;2.368835585926275;3.14803809272235
139;45;5;3.748241316238684;3.748241316238684;3.6239969980807185
140;49;5;2.7405694295225707;2.7405694295225707;3.1011954163996047
141;59;4;0.0;0.0;4.016261937386733
142;45;4;2.8558055403666622;2.8558055403666622;2.954567108999267
143;31;5;4.310100253908684;4.310100253908684;4.565997430751052
144;50;5;2.791930255941808;2.791930255941808;3.10475699357384
145;49;5;3.4907444701982624;3.4907444701982624;3.6422830375372417
146;26;4;4.693869401718697;4.693869401718697;4.213964255461281
147;42;5;5.1083291801827295;5.1083291801827295;4.442087225967163
148;44;5;2.8124423775219753;2.8124423775219753;3.2728708179769033
149;47;5;0.0;0.0;4.491074893790427
150;38;4;2.569440931162947;2.569440931162947;2.8179672889080787
151;44;3;2.433039187688494;2.433039187688494;2.5586657682330554
152;49;5;0.0;0.0;4.491074893790427
153;37;4;3.3805069666595;3.3805069666595;3.276602839381453
154;30;5;4.679207509571636;4.679207509571636;4.460761051866792
155;37;4;0.0;0.0;3.013126515054154
156;36;4;0.0;0.0;3.013126515054154
157;43;5;0.0;0.0;3.3325618557204963
158;44;5;0.0;0.0;3.2175557242791437
159;43;5;0.0;0.0;3.2175557242791437
160;45;5;0.0;0.0;3.3325618557204963
161;32;3;3.3275095291558356;3.3275095291558356;3.5424842144732422
162;53;5;3.507672526065936;3.507672526065936;3.5811600827156598
163;37;4;0.0;0.0;3.013126515054154
164;49;3;3.572805318272359;3.572805318272359;3.437692809453265
165;39;3;3.41364362016499;3.41364362016499;2.9594579193504007
166;45;3;4.744161509160846;4.744161509160846;4.535224933126343
167;52;5;3.4483221086047786;3.4483221086047786;3.7100690511125016
168;33;3;4.215661241658487;4.215661241658487;3.934018559237211
169;16;5;4.882121136397596;4.882121136397596;3.7724787535719595
170;34;5;3.27084674557388;3.27084674557388;3.552030531990376
171;44;5;2.847556211916001;2.847556211916001;3.0304581139600635
172;11;4;3.577785136931368;3.577785136931368;2.9070998211736447
173;54;5;4.633289892434883;4.633289892434883;4.67276751000259
174;37;3;2.9155367248349053;2.9155367248349053;3.0237904292612368
175;55;4;5.838372069030907;5.838372069030907;5.532203044676187
176;41;5;3.6419996910745387;3.6419996910745387;3.3380160680059374
177;38;4;2.551129995535964;2.551129995535964;2.759046563217354
178;32;5;2.1354246767385248;2.1354246767385248;2.7260625469844193
179;44;3;3.147717716071727;3.147717716071727;3.3060839047679162
180;48;3;4.255456052506918;4.255456052506918;4.096059274048415
181;22;3;3.04380577737215;3.04380577737215;3.1723469956524597
182;14;3;0.0;0.0;3.407493668129125
183;48;3;2.0359573713675454;2.0359573713675454;2.4062709536328053
184;54;3;2.253319881317802;2.253319881317802;2.542790182285559
185;52;3;2.0313812941647797;2.0313812941647797;2.36957791506787
186;50;4;3.6112147974116353;3.6112147974116353;3.9904936447562496
187;50;5;3.7608055048542597;3.7608055048542597;3.363184012580326
188;41;5;4.596609376859399;4.596609376859399;4.399144071779519
189;54;3;2.361585035465019;2.361585035465019;2.6358236778281454
190;53;3;2.566118193902038;2.566118193902038;2.7446504926078332
191;14;3;0.0;0.0;3.407493668129125
192;44;5;3.413701814758953;3.413701814758953;3.6574496764531457
193;49;5;4.748430033411088;4.748430033411088;4.638615708262351
194;33;3;2.5827173106558257;2.5827173106558257;3.1390137736830557
195;37;3;2.6499250377662724;2.6499250377662724;3.0059058900944797
196;38;3;2.7546990653953123;2.7546990653953123;3.3002424370214563
197;45;3;0.0;0.0;2.6896625988285026
198;39;3;0.0;0.0;3.9213954002540294
199;46;3;0.0;0.0;2.6896625988285026
200;25;3;2.388749583560533;2.388749583560533;2.7809338353545563
201;41;3;0.0;0.0;3.9213954002540294
202;62;3;3.673552794812293;3.673552794812293;3.3122404851507916
203;39;4;5.087205594002575;5.087205594002575;4.79856673992063
204;45;5;3.4338268241798655;3.4338268241798655;3.6478625149651602
205;49;4;2.89941512829608;2.89941512829608;2.8812282715381388
206;42;4;0.0;0.0;3.8859416636647115
207;19;5;5.6293615810895385;5.6293615810895385;5.138451804386156
208;55;5;3.233821714509037;3.233821714509037;3.4453787688302278
209;37;3;2.8038755081717754;2.8038755081717754;3.0428234765413054
210;13;4;5.300043898494815;5.300043898494815;4.7163738322436455
211;41;5;2.852106232285466;2.852106232285466;3.1067854901369425
212;42;4;0.0;0.0;3.8859416636647115
213;41;5;3.026054057168625;3.026054057168625;3.627531818529713
214;45;5;0.0;0.0;2.770135801616043
215;59;4;0.0;0.0;3.381341901819356
216;58;4;0.0;0.0;3.4893538154458863
217;59;4;0.0;0.0;3.381341901819356
218;22;3;3.386134707597648;3.386134707597648;3.1679461325523004
219;45;4;2.695372330588694;2.695372330588694;2.8740958624861417
220;60;4;0.0;0.0;3.4893538154458863
221;48;3;3.3525535493756218;3.3525535493756218;3.5934286997815583
222;45;5;0.0;0.0;2.770135801616043
223;20;5;4.227104799218253;4.227104799218253;4.440673729399496
224;38;4;3.5412113987859963;3.5412113987859963;3.5093546783416745
225;29;3;0.0;0.0;3.417652926608966
226;27;3;0.0;0.0;3.423931729885978
227;10;3;4.85866437864627;4.85866437864627;2.4967428778897687
228;27;3;0.0;0.0;3.423931729885978
229;27;3;0.0;0.0;3.417652926608966
230;40;5;3.713725087797004;3.713725087797004;4.006685065992831
231;48;3;3.2944465923057096;3.2944465923057096;3.2953661887002124
232;51;3;2.7269278799274215;2.7269278799274215;2.8579902382491236
233;40;3;0.0;0.0;2.777905778394702
234;39;3;0.0;0.0;2.777905778394702
235;44;3;0.0;0.0;2.777905778394702
236;39;3;0.0;0.0;2.777905778394702
237;45;3;3.666286917980004;3.666286917980004;3.802714055953736
238;56;5;2.796563700722996;2.796563700722996;2.9646426164642334
239;32;3;3.2829087309176894;3.2829087309176894;3.363767129350365
240;45;3;2.403653546957754;2.403653546957754;2.8600494805487213
241;41;5;2.97248363366127;2.97248363366127;3.3719323242441868
242;55;5;3.6693332744441087;3.6693332744441087;3.806261893359815
243;22;3;3.355300092777407;3.355300092777407;3.0841350463550614
244;45;3;0.0;0.0;3.472229762274309
245;9;3;3.3653356225240683;3.3653356225240683;2.562586598466757
246;30;4;3.0119742120471282;3.0119742120471282;3.2788072781266786
247;43;5;2.7857246451633264;2.7857246451633264;3.1292376251250915
248;48;5;2.6387863629573047;2.6387863629573047;3.1205834802006454
249;30;5;4.483881602311403;4.483881602311403;4.411544604964921
250;27;3;2.915021834902895;2.915021834902895;3.0261901911701092
251;30;3;2.8052898776010498;2.8052898776010498;2.9238659762726376
252;43;3;0.0;0.0;3.472229762274309
