Skewness: -0.4230124691160331, Average LID: LPCA: 2.977133523887301  |||  MLE: 1.610214683622618  |||  MLENB: 1.610214683622618  |||  TLE: 2.4712988050361213
LPCA: 0.30571796331362905  |||  MLE: -0.07471269832540332  |||  MLENB: -0.07471269832540332  |||  TLE: 0.12062432305280063
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;527;3;0.0;0.0;3.099477649476362
1;374;3;0.0;0.0;2.4088864080524446
2;749;3;0.0;0.0;2.5311083076487213
3;956;3;0.0;0.0;2.1482716378946476
4;956;3;0.0;0.0;2.1482716378946476
5;748;3;0.0;0.0;2.5311083076487213
6;821;3;2.6073325510936582;2.6073325510936582;2.7024233431319162
7;526;3;0.0;0.0;3.099477649476362
8;374;3;0.0;0.0;2.4088864080524446
9;765;3;2.2288585370114715;2.2288585370114715;2.446904792013134
10;323;3;1.5901705624032816;1.5901705624032816;1.6007372357972722
11;575;3;2.592042180828564;2.592042180828564;2.612519042480647
12;507;3;1.5631192811823458;1.5631192811823458;1.7260101321023582
13;569;3;2.6765173249595113;2.6765173249595113;2.7495141794640934
14;606;3;3.1947574788458004;3.1947574788458004;3.0494932578055614
15;887;3;2.2229097417141186;2.2229097417141186;2.3925803189905985
16;760;3;2.2037266770415864;2.2037266770415864;2.368961875610603
17;509;3;0.0;0.0;2.165884095451033
18;292;3;2.6215906299104175;2.6215906299104175;2.470065053224647
19;851;3;2.6164612189693868;2.6164612189693868;2.7047748840852948
20;509;3;0.0;0.0;2.165884095451033
21;702;3;2.2332052674508645;2.2332052674508645;2.370032660860334
22;590;3;2.3416422387608997;2.3416422387608997;2.527240959989285
23;448;3;2.5138905057720438;2.5138905057720438;2.495647782125123
24;359;3;2.7095300570131786;2.7095300570131786;2.687462441249789
25;213;3;2.0012150580793397;2.0012150580793397;1.72082123549027
26;702;3;2.4327380656697786;2.4327380656697786;2.525621498525004
27;799;3;2.548352341014642;2.548352341014642;2.635198088177238
28;455;3;2.3564934863728464;2.3564934863728464;2.433810413435462
29;675;3;2.2285706641848586;2.2285706641848586;2.3953801171019786
30;466;3;2.9989313704567113;2.9989313704567113;2.8710634076617456
31;180;2;1.996355971393679;1.996355971393679;1.5323017372364844
32;746;3;2.1319016959376156;2.1319016959376156;2.3339785930543036
33;491;3;2.5238873664232435;2.5238873664232435;2.598045156958165
34;339;3;2.7311115768608794;2.7311115768608794;2.6117624073641537
35;630;3;2.3311759646634997;2.3311759646634997;2.4683207487523027
36;594;3;2.4483919649744563;2.4483919649744563;2.569555886174835
37;733;3;2.3843251519618747;2.3843251519618747;2.5005785706690684
38;517;3;0.0;0.0;3.189403273802306
39;519;3;0.0;0.0;3.189403273802306
40;399;3;2.656376864260916;2.656376864260916;2.572845082002999
41;399;3;2.6244903879185153;2.6244903879185153;2.559619593785776
42;613;3;0.0;0.0;2.4195322869560885
43;698;3;2.4470224027040532;2.4470224027040532;2.5429787887333477
44;703;3;2.542553927108397;2.542553927108397;2.6592009990428243
45;701;3;2.633973087206889;2.633973087206889;2.747321718321236
46;558;3;2.216699219531979;2.216699219531979;2.228049125115903
47;561;3;2.204470110135859;2.204470110135859;2.2486871928105816
48;613;3;0.0;0.0;2.4195322869560885
49;766;3;2.286270457474475;2.286270457474475;2.405706858239505
50;527;3;2.623433175032305;2.623433175032305;2.6907215973553327
51;667;3;2.3237541689186534;2.3237541689186534;2.483713250653115
52;697;3;1.9517732261201013;1.9517732261201013;2.075187321173045
53;536;3;2.2958988426517863;2.2958988426517863;2.4147248596349047
54;696;3;2.5316128230896755;2.5316128230896755;2.6314302933410847
55;452;3;2.6578793897843678;2.6578793897843678;2.590090895758309
56;492;3;2.19683885948324;2.19683885948324;2.163269347453135
57;603;3;0.0;0.0;2.6284020601297775
58;607;3;0.0;0.0;2.04074995382606
59;414;3;2.608700364874845;2.608700364874845;2.561686849394429
60;923;3;2.695730880052193;2.695730880052193;2.7799604089292704
