Skewness: -0.8848941584830182, Average LID: LPCA: 2.227272727272727  |||  MLE: 1.8013721697635703  |||  MLENB: 1.8013721697635703  |||  TLE: 1.7616156387301054
LPCA: 0.31572776993409457  |||  MLE: -0.4646139677812734  |||  MLENB: -0.4646139677812734  |||  TLE: 0.21886451415999675
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;77;2;1.730419900466128;1.730419900466128;1.8746101535364577
1;51;2;2.4915950819213664;2.4915950819213664;1.9794562723948184
2;56;2;1.5995991906968752;1.5995991906968752;1.6581245539974496
3;22;2;1.8552758008274532;1.8552758008274532;1.4353720236974519
4;76;2;1.734803413284223;1.734803413284223;1.8403944030023631
5;39;2;1.2986758696273883;1.2986758696273883;1.4584667235348001
6;84;2;1.5012539423763802;1.5012539423763802;1.6367800184361172
7;70;3;1.7128507140585596;1.7128507140585596;1.7286289268338748
8;40;2;1.3729195308602402;1.3729195308602402;1.5369750712879224
9;36;2;1.3795367021029208;1.3795367021029208;1.4576196450807293
10;63;2;2.421567262736645;2.421567262736645;2.4287880310706043
11;51;2;1.9642288842874278;1.9642288842874278;2.040276754918216
12;74;2;2.259315455925379;2.259315455925379;2.100266610976197
13;75;3;1.5196719250599469;1.5196719250599469;1.6763505632317364
14;57;3;2.204986978082223;2.204986978082223;2.0600252980531453
15;55;2;1.8593537543240968;1.8593537543240968;1.8733606231247653
16;84;3;1.3250672492193576;1.3250672492193576;1.57897297891087
17;24;2;2.1888249855502804;2.1888249855502804;1.649070310697337
18;33;2;3.263564595898294;3.263564595898294;2.0484727683203983
19;72;2;2.5289895296384652;2.5289895296384652;2.3575263624679756
20;70;3;1.793298478956167;1.793298478956167;1.8480143770036657
21;72;2;1.8540509799350506;1.8540509799350506;1.8091789017013917
22;50;2;2.2046243706685935;2.2046243706685935;2.187108370099417
23;57;2;1.6640432957374722;1.6640432957374722;1.8193647004072526
24;46;3;2.4223413906709683;2.4223413906709683;2.017547251397421
25;60;2;1.5332153153589871;1.5332153153589871;1.6307227828076316
26;72;2;1.6741123997340213;1.6741123997340213;1.7117966040160004
27;58;2;1.7998757208718539;1.7998757208718539;1.9497572069449602
28;60;2;1.7174243663491031;1.7174243663491031;1.8508269163694302
29;64;3;1.3394806929856278;1.3394806929856278;1.4814639132513145
30;48;2;2.2249395862208803;2.2249395862208803;1.8876736520442208
31;53;2;1.261531156956464;1.261531156956464;1.478914715202023
32;58;3;1.2884151873902672;1.2884151873902672;1.468623684761822
33;17;2;1.9658604420479437;1.9658604420479437;1.4155599704977224
34;88;2;1.5517491451172551;1.5517491451172551;1.6925817969238248
35;68;3;2.070223587493817;2.070223587493817;1.9922512762868496
36;43;2;1.2593807685329792;1.2593807685329792;1.4606255336629623
37;81;2;1.662964178094025;1.662964178094025;1.7299136401905642
38;46;2;1.3620631401132877;1.3620631401132877;1.5694698285693047
39;86;3;1.5591193228746945;1.5591193228746945;1.7988446103654214
40;43;2;2.1355269356498017;2.1355269356498017;1.9492609362172444
41;80;3;1.4739474754225381;1.4739474754225381;1.6400247512029376
42;77;3;1.5418814696351972;1.5418814696351972;1.702969017565495
43;61;3;2.1151743419864237;2.1151743419864237;1.9528144101292004
44;75;3;1.6979646479935795;1.6979646479935795;1.8134263613446424
45;64;2;2.9054800261941502;2.9054800261941502;2.3915900107589394
46;62;3;1.4129631431032623;1.4129631431032623;1.5844870776984545
47;87;2;1.8471573860545534;1.8471573860545534;1.9671380936314133
48;59;2;2.042155851176773;2.042155851176773;2.03205718113187
49;88;3;1.652480953881015;1.652480953881015;1.8029231956110106
50;67;2;1.44640032139604;1.44640032139604;1.5545622501619436
51;67;3;1.4671606163852398;1.4671606163852398;1.558220143913989
52;70;3;1.6486932480725087;1.6486932480725087;1.6851518316600818
53;59;3;1.4756320830355782;1.4756320830355782;1.5840670148641853
54;63;3;1.8445602123306721;1.8445602123306721;1.8754803848995127
55;58;2;1.8782141250901307;1.8782141250901307;2.057628736581514
56;59;2;1.352290596526811;1.352290596526811;1.6072372865238813
57;77;2;1.782111298617746;1.782111298617746;1.8427871356385643
58;30;2;2.5020759988616263;2.5020759988616263;1.8641815840443574
59;81;2;1.5704255522655224;1.5704255522655224;1.6626820995920129
60;86;2;1.542728007800519;1.542728007800519;1.7195631713424242
61;62;2;2.062611685207639;2.062611685207639;2.114652173291054
62;44;2;1.8208117802419805;1.8208117802419805;1.6988641541548362
63;34;2;1.50626975496599;1.50626975496599;1.4541997364888382
64;79;3;1.6083243669497265;1.6083243669497265;1.7695664870014973
65;58;2;1.8404267188345447;1.8404267188345447;1.960453618524738
66;27;2;1.654135153510113;1.654135153510113;1.4227742483424595
67;65;2;1.3742766676742304;1.3742766676742304;1.5955207993588199
68;72;2;2.041438974244165;2.041438974244165;2.0722571431916177
69;40;2;2.0468378643987277;2.0468378643987277;1.8619504958623208
70;26;2;1.9872976260410393;1.9872976260410393;1.5642307708824719
71;61;2;1.5061645130424617;1.5061645130424617;1.6853888699063313
72;69;2;1.6650881932932688;1.6650881932932688;1.8305853745760032
73;70;3;2.2857835842332688;2.2857835842332688;2.0844458522615317
74;63;3;1.785709444249906;1.785709444249906;1.765347648821492
75;10;2;3.0716052814230967;3.0716052814230967;1.4600527144233204
76;47;2;1.7034607228836254;1.7034607228836254;1.7080573315827292
77;57;2;1.9883303172704838;1.9883303172704838;2.1126133469143396
78;84;3;1.3545248394823233;1.3545248394823233;1.5329054001681848
79;72;2;1.9767496929048842;1.9767496929048842;2.0356406316523357
80;58;2;1.3046590678443593;1.3046590678443593;1.5011756745575027
81;40;2;1.4532455630386734;1.4532455630386734;1.5568885613073333
82;63;3;1.561068082013581;1.561068082013581;1.662772404251474
83;61;3;1.3329402806741684;1.3329402806741684;1.5032157534000357
84;81;2;1.4991570963263192;1.4991570963263192;1.7032466320976989
85;84;3;1.9428424539447289;1.9428424539447289;2.0128222166236656
86;39;2;2.346101658167127;2.346101658167127;1.872949346922094
87;45;2;2.5841859598249366;2.5841859598249366;2.1517661556643404
88;87;3;1.3417270269680108;1.3417270269680108;1.6000082876150967
89;77;2;1.4334184412330682;1.4334184412330682;1.6230451335742229
90;56;2;3.3803887657668383;3.3803887657668383;2.5886821662967887
91;64;3;1.2561909177381958;1.2561909177381958;1.414603592993488
92;55;2;1.2686904009749125;1.2686904009749125;1.4893128235081803
93;55;2;1.6026925649043944;1.6026925649043944;1.6641052602454338
94;31;2;2.4269397231980467;2.4269397231980467;1.8461653270085017
