Skewness: -0.626512760890997, Average LID: LPCA: 2.0  |||  MLE: 1.5596507639337056  |||  MLENB: 1.5596507639337056  |||  TLE: 1.5375519307625778
LPCA: nan  |||  MLE: -0.19891843623381986  |||  MLENB: -0.19891843623381986  |||  TLE: 0.4810782091521812
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;121;2;1.4125564896155147;1.4125564896155147;1.5019999136971245
1;61;2;2.0476061513153576;2.0476061513153576;1.7169920510287462
2;65;2;1.4869530620202869;1.4869530620202869;1.5333841534357333
3;36;2;1.4444511246520197;1.4444511246520197;1.2011780459954955
4;93;2;1.6914448470563745;1.6914448470563745;1.7732694994013294
5;56;2;1.001887702506592;1.001887702506592;1.1298218371275672
6;104;2;1.400905402055582;1.400905402055582;1.5096282991967618
7;75;2;1.149030219726102;1.149030219726102;1.2570262847128513
8;58;2;1.0334818386476565;1.0334818386476565;1.1614018734339198
9;52;2;1.0684419206515934;1.0684419206515934;1.1491355576629885
10;120;2;1.6826516028367726;1.6826516028367726;1.7012588586089756
11;76;2;1.9139983877050772;1.9139983877050772;1.974783126824013
12;79;2;1.6652871943634833;1.6652871943634833;1.6790243839009615
13;86;2;1.2367214088238596;1.2367214088238596;1.3890876944952737
14;109;2;1.9941989639113658;1.9941989639113658;1.9273832919323144
15;80;2;1.82524570564634;1.82524570564634;1.8708390615507413
16;97;2;1.316387814445671;1.316387814445671;1.5433793915764777
17;31;2;2.0137500107351074;2.0137500107351074;1.4589736014652044
18;42;2;2.891196982943595;2.891196982943595;1.945254310235195
19;106;2;1.9434325375320916;1.9434325375320916;1.9095638562696797
20;78;2;1.1670427568702342;1.1670427568702342;1.2892537364800207
21;117;2;1.538787617375907;1.538787617375907;1.56800318604669
22;113;2;1.959737172260029;1.959737172260029;1.9248230661482157
23;83;2;1.5985568159680539;1.5985568159680539;1.7382066294992675
24;64;2;1.5467204280339242;1.5467204280339242;1.4655510138885985
25;90;2;1.5015373606905835;1.5015373606905835;1.6138122511302815
26;79;2;1.4598742969015939;1.4598742969015939;1.5120132252021425
27;92;2;1.8083491746992661;1.8083491746992661;1.9264074773507056
28;93;2;1.6539917690811028;1.6539917690811028;1.7341900778983268
29;73;2;1.0013705532346444;1.0013705532346444;1.1514752683471048
30;60;2;1.3750223610565468;1.3750223610565468;1.3338082153132842
31;61;2;0.9452722554962039;0.9452722554962039;1.1023994053970179
32;67;2;0.9611304039933108;0.9611304039933108;1.1090169777966719
33;35;2;1.5293576157522732;1.5293576157522732;1.1942272071015203
34;99;2;1.506835784894006;1.506835784894006;1.6185926941433166
35;73;2;1.327920984815052;1.327920984815052;1.4107728561295707
36;60;2;0.9602790885235397;0.9602790885235397;1.110322051097378
37;108;2;1.526235286441232;1.526235286441232;1.5954805993222592
38;61;2;1.00120438073995;1.00120438073995;1.1500462210111853
39;103;2;1.3945775701883567;1.3945775701883567;1.555120515318844
40;53;2;1.7985328753607541;1.7985328753607541;1.6514756600910925
41;90;2;1.3841145666064394;1.3841145666064394;1.5318865383770355
42;88;2;1.3356392399916903;1.3356392399916903;1.4937334365076647
43;70;2;1.3368567124262867;1.3368567124262867;1.3802212079076381
44;84;2;1.2466043087900547;1.2466043087900547;1.3722237038889606
45;99;2;2.666658755686318;2.666658755686318;2.2815651545688245
46;70;2;0.9818435876679665;0.9818435876679665;1.1314893732202058
47;97;2;1.6031319698529183;1.6031319698529183;1.6981334030697142
48;91;2;1.8355430165626563;1.8355430165626563;1.8569361729456264
49;102;2;1.4652518309375087;1.4652518309375087;1.5706303553993093
50;74;2;1.3957383998887563;1.3957383998887563;1.5088311142295798
51;75;2;1.0902713309770686;1.0902713309770686;1.2292898468713127
52;79;2;1.1233954259153793;1.1233954259153793;1.2340406793334386
53;68;2;1.0829798259481629;1.0829798259481629;1.2059558710233071
54;106;2;1.7769109051760823;1.7769109051760823;1.824581426771978
55;83;2;1.8353421173259736;1.8353421173259736;1.955274104595001
56;89;2;1.3563932268629517;1.3563932268629517;1.576405809279376
57;110;2;1.704991821305903;1.704991821305903;1.7769609384258391
58;40;2;2.1440680818306057;2.1440680818306057;1.6374038302545095
59;106;2;1.451657232732913;1.451657232732913;1.5473667625001013
60;100;2;1.4050038864108148;1.4050038864108148;1.5412875704976157
61;124;2;1.6747992234956086;1.6747992234956086;1.698155508153
62;49;2;1.6300019039602156;1.6300019039602156;1.5103835923881361
63;46;2;1.137483731256439;1.137483731256439;1.1475560434719034
64;91;2;1.5169069000094264;1.5169069000094264;1.675852919841661
65;124;2;1.8044784630806074;1.8044784630806074;1.882774726907523
66;38;2;1.2895187649882232;1.2895187649882232;1.1705786686864117
67;92;2;1.3591336404243237;1.3591336404243237;1.563543951710065
68;103;2;1.6169674940606764;1.6169674940606764;1.6630075195227938
69;46;2;1.8076526524499175;1.8076526524499175;1.6174355310853172
70;32;2;1.8713895291620153;1.8713895291620153;1.4329614549390786
71;85;2;1.4921393279953432;1.4921393279953432;1.644161866782576
72;94;2;1.4164267272219238;1.4164267272219238;1.5566877553756597
73;84;2;1.6428804867962725;1.6428804867962725;1.637969899787676
74;110;2;1.6828702834611313;1.6828702834611313;1.6886961873695785
75;10;2;2.9393893417247043;2.9393893417247043;1.3301270314038556
76;54;2;1.479129267091091;1.479129267091091;1.4665490816589672
77;92;2;1.8836276709009694;1.8836276709009694;1.953927374085639
78;97;2;1.367227930083544;1.367227930083544;1.539114319999723
79;109;2;1.586018743498516;1.586018743498516;1.6401820857605651
80;67;2;0.9794888952809151;0.9794888952809151;1.139099627948165
81;58;2;1.0728287846526177;1.0728287846526177;1.173017777539751
82;73;2;1.0945625877552985;1.0945625877552985;1.2336317573304956
83;70;2;0.982453222904876;0.982453222904876;1.1371005616403183
84;93;2;1.4023207688919894;1.4023207688919894;1.5523911432451936
85;95;2;1.70486490675506;1.70486490675506;1.766125631641662
86;43;2;1.9221663456291254;1.9221663456291254;1.590776249136741
87;99;2;2.3532737478473913;2.3532737478473913;2.061041659384299
88;99;2;1.3791482215063913;1.3791482215063913;1.6167974147979753
89;89;2;1.3367476728230587;1.3367476728230587;1.483202867052105
90;112;2;2.509435376640767;2.509435376640767;2.1273472563815714
91;71;2;0.9612686875241645;0.9612686875241645;1.1177645133209444
92;64;2;0.9403066058194078;0.9403066058194078;1.1003746414644962
93;64;2;1.4264968890545802;1.4264968890545802;1.4735091708051717
94;36;2;2.1373633567623904;2.1373633567623904;1.5842505479377873
95;117;2;1.6134248109024623;1.6134248109024623;1.5932014647216182
96;54;2;1.0306721961595502;1.0306721961595502;1.1335600460798414
97;104;2;1.7594762290923975;1.7594762290923975;1.7746222963391112
98;72;2;1.4166785776730444;1.4166785776730444;1.5270021862992127
99;17;2;2.235330801818662;2.235330801818662;1.3755723219383322
100;98;2;1.5112918203220003;1.5112918203220003;1.6570318336665537
101;111;2;1.5677930030711202;1.5677930030711202;1.5967402612599708
102;87;2;1.578553331016545;1.578553331016545;1.7017293818345745
103;71;2;1.5278183976606654;1.5278183976606654;1.5455385634685066
104;73;2;0.9735184192990901;0.9735184192990901;1.1195147284467453
105;72;2;1.4393054718442637;1.4393054718442637;1.4860340569989339
106;90;2;1.2685174907333492;1.2685174907333492;1.4678643962948907
107;124;2;2.0680656403306177;2.0680656403306177;1.991590497571624
108;106;2;1.478266885963629;1.478266885963629;1.6367262473824595
109;74;2;1.375683789844444;1.375683789844444;1.491041339606256
110;90;2;1.3954390850313514;1.3954390850313514;1.6265472466737603
111;102;2;1.457651665576344;1.457651665576344;1.631771933654655
112;101;2;1.579433364743501;1.579433364743501;1.7042687236991054
113;12;2;3.1285206011453663;3.1285206011453663;1.3912159388806045
114;39;2;1.7188396329153641;1.7188396329153641;1.4309463585618825
115;93;2;1.3870330038668182;1.3870330038668182;1.5766638356455611
116;90;2;1.4086824376806877;1.4086824376806877;1.5139342167105154
117;94;2;1.363293371748031;1.363293371748031;1.5430767157601948
118;109;2;1.6882983395062063;1.6882983395062063;1.7543126505160125
119;36;2;1.38937805435007;1.38937805435007;1.183916787650817
120;61;2;1.5356504921335024;1.5356504921335024;1.5420574519292638
121;86;2;1.3775514491215115;1.3775514491215115;1.5422645914167084
122;118;2;1.5126964899423732;1.5126964899423732;1.563561949843212
123;88;2;1.4374596470833667;1.4374596470833667;1.601827805395632
124;71;2;1.3835898914400617;1.3835898914400617;1.4672937593398991
125;119;2;1.5319440445055639;1.5319440445055639;1.5159530904930483
126;92;2;1.4190866707115886;1.4190866707115886;1.5670595139420687
127;76;2;1.6650811768687235;1.6650811768687235;1.6079039832355642
128;16;2;2.1990774803272504;2.1990774803272504;1.369704924048145
129;105;2;1.4439350575939236;1.4439350575939236;1.551529679493444
130;92;2;1.4222941654644654;1.4222941654644654;1.6148257884202868
131;13;2;2.697330034322147;2.697330034322147;1.33423354277342
132;105;2;1.6057437133476193;1.6057437133476193;1.7487700841238192
133;77;2;1.3330845362607087;1.3330845362607087;1.4458112635253761
134;89;2;1.344291594952053;1.344291594952053;1.5298019528957
135;44;2;1.6509219229879832;1.6509219229879832;1.435362348300004
136;66;2;1.3792683059234314;1.3792683059234314;1.4587133263429068
137;34;2;1.5572037955838354;1.5572037955838354;1.1886011842493143
138;68;2;1.0759917224170825;1.0759917224170825;1.2097430429434701
139;90;2;2.0126626184492054;2.0126626184492054;1.9387089828446094
140;53;2;1.4741329982593248;1.4741329982593248;1.4376886271684017
141;94;2;1.3532708159130744;1.3532708159130744;1.5006297147874361
142;92;2;1.2551085087630531;1.2551085087630531;1.4669612341870295
143;79;2;4.334436757745584;4.334436757745584;2.723303306024707
144;117;2;1.8515462456435863;1.8515462456435863;1.786260113027905
145;105;2;1.6280720964306168;1.6280720964306168;1.6374874716024845
146;103;2;1.432876206577174;1.432876206577174;1.5633931218714225
147;76;2;1.131151033657092;1.131151033657092;1.2487803007594636
148;85;2;1.3576474356954793;1.3576474356954793;1.5776900019078612
149;90;2;1.3509865441417066;1.3509865441417066;1.5571251645090627
150;109;2;1.4325294681914584;1.4325294681914584;1.553099290737463
151;58;2;1.443747326256072;1.443747326256072;1.4607798813329373
152;108;2;1.6467312276609398;1.6467312276609398;1.6548163202876658
