Skewness: 0.3065761623586991, Average LID: LPCA: 5.940700808625337  |||  MLE: 4.9110738477044515  |||  MLENB: 4.9110738477044515  |||  TLE: 4.785346004402587
LPCA: 0.18086059394157836  |||  MLE: -0.32633661139034953  |||  MLENB: -0.32633661139034953  |||  TLE: -0.17691236334694468
node;in_degree;local_intrinsic_dimensionality_LPCA;local_intrinsic_dimensionality_MLE;local_intrinsic_dimensionality_MLENB;local_intrinsic_dimensionality_TLE
0;76;6;3.497589322027876;3.497589322027876;3.742201987756042
1;62;6;4.344882142799108;4.344882142799108;4.253939505147357
2;91;6;3.154910105242239;3.154910105242239;3.3632086379902995
3;51;6;4.494931781731137;4.494931781731137;4.738475565212164
4;79;6;4.356567477719914;4.356567477719914;4.302890524434635
5;14;1;12.136954151403144;12.136954151403144;6.3941688000078765
6;64;6;3.03046747977038;3.03046747977038;3.3076039099114016
7;37;6;7.098457146177561;7.098457146177561;6.232996158717883
8;35;6;4.837335196060916;4.837335196060916;4.9023090092750286
9;48;6;5.779825555251926;5.779825555251926;5.169702742449573
10;132;6;4.649149922055368;4.649149922055368;4.729514367386222
11;110;6;4.927323072478425;4.927323072478425;4.825501865563816
12;85;6;6.114165156843541;6.114165156843541;5.6702270768322816
13;48;6;4.505177254983814;4.505177254983814;4.29292648480275
14;81;6;6.488611131355519;6.488611131355519;5.970801997213821
15;73;6;5.179307104991216;5.179307104991216;5.14307770505352
16;48;6;4.984600204889531;4.984600204889531;4.952550576285411
17;76;6;4.681697667699586;4.681697667699586;4.807217347115359
18;81;6;4.597276583538987;4.597276583538987;4.632583361054615
19;95;6;3.8811963566829255;3.8811963566829255;4.116344337084687
20;114;6;4.89526734258267;4.89526734258267;4.987961568739044
21;110;6;4.868273520006303;4.868273520006303;4.846178302199527
22;111;6;3.546142541825318;3.546142541825318;3.7929104780668674
23;67;6;4.1159557590696405;4.1159557590696405;4.3412638305758575
24;44;6;3.727902160497147;3.727902160497147;4.088422091834329
25;131;6;3.766641654188237;3.766641654188237;4.044607098716494
26;44;6;5.724227298994663;5.724227298994663;5.155450350353143
27;73;6;4.039168623681536;4.039168623681536;4.49837533478507
28;60;6;5.2456642274306065;5.2456642274306065;5.013107395864628
29;33;6;4.112812168675826;4.112812168675826;3.481881108595983
30;30;6;6.3387989875511614;6.3387989875511614;5.7479051477036025
31;10;6;3.994614101010278;3.994614101010278;2.764159871627407
